wavelength,R-0052
300,1.2      
302,1.23     
304,1.26     
306,1.29     
308,1.31     
310,1.31     
312,1.28     
314,1.22     
316,1.09     
318,0.92     
320,0.71     
322,0.53     
324,0.41     
326,0.33     
328,0.27     
330,0.27     
332,0.38     
334,0.6      
336,0.81     
338,0.94     
340,0.98     
342,1.01     
344,0.99     
346,0.85     
348,0.62     
350,0.43     
352,0.38     
354,0.5      
356,0.75     
358,0.93     
360,0.99     
362,0.95     
364,0.82     
366,0.71     
368,0.72     
370,0.74     
372,0.69     
374,0.7      
376,0.8      
378,0.89     
380,0.89     
382,0.86     
384,0.86     
386,0.91     
388,0.95     
390,0.94     
392,0.91     
394,0.87     
396,0.82     
398,0.82     
400,0.84     
402,0.87     
404,0.87     
406,0.85     
408,0.87     
410,0.93     
412,0.97     
414,0.98     
416,0.97     
418,0.97     
420,0.96     
422,0.95     
424,0.92     
426,0.89     
428,0.91     
430,0.96     
432,0.99     
434,0.99     
436,0.99     
438,0.99     
440,0.98     
442,0.98     
444,0.97     
446,0.96     
448,0.95     
450,0.95     
452,0.97     
454,0.98     
456,0.98     
458,0.98     
460,0.98     
462,0.98     
464,0.99     
466,0.99     
468,1        
470,1        
472,1        
474,1        
476,1        
478,1        
480,1        
482,0.99     
484,1        
486,1        
488,1        
490,1        
492,1.01     
494,1.01     
496,1.01     
498,1.01     
500,1.01     
502,1.01     
504,1.01     
506,1.01     
508,1        
510,1.01     
512,1.01     
514,1.01     
516,1.01     
518,1.01     
520,1.01     
522,1.01     
524,1.01     
526,1        
528,1        
530,1        
532,1        
534,1        
536,1        
538,1        
540,1        
542,1        
544,1        
546,1.01     
548,1        
550,1        
552,1.01     
554,1.01     
556,1        
558,1        
560,1        
562,1        
564,1        
566,1        
568,1        
570,1        
572,1        
574,1        
576,1        
578,1        
580,1        
582,1        
584,0.99     
586,0.99     
588,0.99     
590,0.98     
592,0.97     
594,0.95     
596,0.92     
598,0.88     
600,0.84     
602,0.78     
604,0.73     
606,0.69     
608,0.65     
610,0.62     
612,0.6      
614,0.58     
616,0.57     
618,0.56     
620,0.56     
622,0.55     
624,0.53     
626,0.5      
628,0.46     
630,0.4      
632,0.32     
634,0.23     
636,0.16     
638,0.1      
640,0.06     
642,0.03     
644,0.02     
646,0.02     
648,0.02     
650,0.02     
652,0.02     
654,0.02     
656,0.02     
658,0.02     
660,0.02     
662,0.01     
664,0.01     
666,0.01     
668,0.01     
670,0.01     
672,0.02     
674,0.02     
676,0.02     
678,0.02     
680,0.02     
682,0.02     
684,0.02     
686,0.02     
688,0.02     
690,0.02     
692,0.01     
694,0.01     
696,0.01     
698,0.02     
700,0.02     
702,0.03     
704,0.03     
706,0.04     
708,0.05     
710,0.06     
712,0.08     
714,0.1      
716,0.11     
718,0.13     
720,0.16     
722,0.18     
724,0.21     
726,0.24     
728,0.27     
730,0.3      
732,0.33     
734,0.36     
736,0.39     
738,0.42     
740,0.44     
742,0.46     
744,0.47     
746,0.48     
748,0.49     
750,0.49     
752,0.49     
754,0.49     
756,0.49     
758,0.48     
760,0.48     
762,0.47     
764,0.46     
766,0.45     
768,0.44     
770,0.43     
772,0.43     
774,0.42     
776,0.42     
778,0.41     
780,0.42     
782,0.42     
784,0.43     
786,0.45     
788,0.47     
790,0.49     
792,0.52     
794,0.54     
796,0.57     
798,0.59     
800,0.61  
