wavelength,R-0053
300,0.29     
302,0.37     
304,0.48     
306,0.63     
308,0.81     
310,1.01     
312,1.24     
314,1.47     
316,1.67     
318,1.8      
320,1.91     
322,1.96     
324,1.96     
326,1.92     
328,1.8      
330,1.65     
332,1.49     
334,1.34     
336,1.18     
338,1.08     
340,1.02     
342,1.05     
344,1.1      
346,1.07     
348,0.97     
350,0.84     
352,0.73     
354,0.53     
356,0.33     
358,0.39     
360,0.61     
362,0.63     
364,0.53     
366,0.61     
368,0.79     
370,0.85     
372,0.8      
374,0.76     
376,0.8      
378,0.86     
380,0.87     
382,0.87     
384,0.89     
386,0.9      
388,0.91     
390,0.92     
392,0.93     
394,0.93     
396,0.93     
398,0.93     
400,0.93     
402,0.94     
404,0.94     
406,0.93     
408,0.93     
410,0.92     
412,0.93     
414,0.94     
416,0.94     
418,0.94     
420,0.93     
422,0.93     
424,0.94     
426,0.95     
428,0.96     
430,0.97     
432,0.98     
434,0.98     
436,0.97     
438,0.97     
440,0.96     
442,0.96     
444,0.97     
446,0.96     
448,0.93     
450,0.87     
452,0.79     
454,0.73     
456,0.7      
458,0.69     
460,0.66     
462,0.63     
464,0.63     
466,0.69     
468,0.79     
470,0.89     
472,0.95     
474,0.96     
476,0.95     
478,0.94     
480,0.94     
482,0.97     
484,0.99     
486,1        
488,1        
490,1        
492,1.01     
494,1.01     
496,1.01     
498,1.01     
500,1.01     
502,1.01     
504,1.01     
506,1        
508,1        
510,1        
512,1        
514,1        
516,1.01     
518,1.01     
520,1.01     
522,1        
524,1        
526,1        
528,1        
530,1        
532,1        
534,1        
536,1        
538,1        
540,1        
542,1        
544,1        
546,1        
548,1        
550,1        
552,1        
554,1        
556,1        
558,1        
560,1        
562,0.99     
564,0.98     
566,0.96     
568,0.92     
570,0.85     
572,0.77     
574,0.69     
576,0.6      
578,0.48     
580,0.35     
582,0.21     
584,0.1      
586,0.04     
588,0.02     
590,0.02     
592,0.02     
594,0.01     
596,0.01     
598,0.02     
600,0.02     
602,0.02     
604,0.02     
606,0.02     
608,0.02     
610,0.02     
612,0.01     
614,0.02     
616,0.02     
618,0.02     
620,0.02     
622,0.02     
624,0.02     
626,0.02     
628,0.02     
630,0.02     
632,0.02     
634,0.02     
636,0.02     
638,0.01     
640,0.01     
642,0.02     
644,0.02     
646,0.02     
648,0.02     
650,0.02     
652,0.01     
654,0.01     
656,0.01     
658,0.01     
660,0.01     
662,0.01     
664,0.02     
666,0.02     
668,0.02     
670,0.02     
672,0.02     
674,0.02     
676,0.02     
678,0.02     
680,0.03     
682,0.04     
684,0.06     
686,0.07     
688,0.09     
690,0.09     
692,0.1      
694,0.12     
696,0.16     
698,0.22     
700,0.3      
702,0.4      
704,0.51     
706,0.61     
708,0.7      
710,0.78     
712,0.84     
714,0.88     
716,0.92     
718,0.94     
720,0.95     
722,0.96     
724,0.97     
726,0.97     
728,0.98     
730,0.98     
732,0.98     
734,0.97     
736,0.97     
738,0.97     
740,0.95     
742,0.93     
744,0.9      
746,0.88     
748,0.87     
750,0.86     
752,0.88     
754,0.9      
756,0.92     
758,0.95     
760,0.97     
762,0.98     
764,0.99     
766,0.99     
768,0.99     
770,1        
772,0.99     
774,0.99     
776,0.98     
778,0.98     
780,0.98     
782,0.96     
784,0.95     
786,0.94     
788,0.92     
790,0.93     
792,0.93     
794,0.94     
796,0.95     
798,0.97     
800,0.97  
