Wavelength,API_0020
300,0.68
302,0.09
304,0.02
306,0.01
308,0.28
310,0.56
312,0.24
314,0.82
316,1.98
318,0.87
320,0.14
322,0.15
324,2.1
326,2.89
328,0.96
330,1.57
332,5.65
334,16.07
336,24.64
338,20.23
340,10.04
342,2.87
344,1.28
346,1.01
348,0.72
350,0.85
352,4.41
354,6.54
356,2.5
358,0.37
360,0.17
362,0.22
364,0.49
366,2.32
368,12.57
370,25.88
372,24.48
374,12.24
376,10.75
378,16.49
380,27.14
382,40.12
384,53.83
386,69.44
388,82.65
390,86.85
392,84.99
394,82.62
396,82.49
398,86.07
400,91.12
402,94.38
404,94.71
406,94.12
408,93.89
410,93.5
412,90.37
414,84.46
416,75.82
418,62.75
420,50.34
422,42.23
424,34.77
426,21.55
428,8.42
430,3.36
432,1.85
434,1.32
436,1.14
438,1.12
440,1.18
442,1.26
444,1.31
446,1.31
448,1.26
450,1.21
452,1.17
454,1.16
456,1.18
458,1.25
460,1.39
462,1.65
464,2.17
466,3.24
468,5.66
470,11.17
472,21.21
474,34.02
476,48.21
478,62.94
480,74.81
482,83.96
484,89.05
486,92.64
488,95.4
490,92.68
492,80.92
494,62.54
496,41.21
498,24.05
500,14.09
502,9.01
504,6.5
506,5.33
508,4.94
510,5.13
512,5.97
514,7.71
516,10.86
518,16.17
520,24.19
522,35.16
524,49.34
526,65.89
528,81
530,91.36
532,95.71
534,95.53
536,92.67
538,86.58
540,76.91
542,65.07
544,52.95
546,41.92
548,32.52
550,24.52
552,17.94
554,12.82
556,9.14
558,6.62
560,4.94
562,3.82
564,3.08
566,2.58
568,2.25
570,2.02
572,1.89
574,1.81
576,1.77
578,1.75
580,1.72
582,1.67
584,1.57
586,1.44
588,1.28
590,1.12
592,0.96
594,0.82
596,0.71
598,0.63
600,0.57
602,0.54
604,0.52
606,0.52
608,0.54
610,0.59
612,0.66
614,0.79
616,0.98
618,1.28
620,1.79
622,2.71
624,4.47
626,7.91
628,13.87
630,21.68
632,29.31
634,36.24
636,40.82
638,40.77
640,38.07
642,34.76
644,30.99
646,28.15
648,26.24
650,23.46
652,19.7
654,15.49
656,11.63
658,8.7
660,6.63
662,5.18
664,4.12
666,3.35
668,2.81
670,2.46
672,2.24
674,2.12
676,2.07
678,2.09
680,2.15
682,2.26
684,2.41
686,2.58
688,2.75
690,2.9
692,3
694,3.04
696,3.01
698,2.94
700,2.82
702,2.69
704,2.55
706,2.43
708,2.34
710,2.27
712,2.24
714,2.25
716,2.31
718,2.42
720,2.6
722,2.89
724,3.32
726,3.98
728,5.02
730,6.7
732,9.45
734,13.66
736,18.96
738,23.96
740,27.38
742,28.98
744,28.65
746,26.22
748,22.24
750,19.19
752,20.11
754,22.32
756,23.04
758,22.66
760,20.52
762,15.04
764,10.01
766,7.67
768,6.87
770,6.72
772,6.93
774,7.44
776,8.23
778,9.35
780,10.88
782,12.94
784,15.56
786,18.76
788,22.49
790,26.63
792,30.8
794,34.69
796,37.92
798,40.43
800,42.15
