Type: Dye
Name: Atto590 from http://www.fluorophores.tugraz.at/substance/155
Extinction coefficient: 120000
Quantum Yield: 0.80
wavelength,excitation,emission
588,0.919,0.0958
589,0.9388,0.1088
590,0.9558,0.1219
591,0.9711,0.1374
592,0.9813,0.1554
593,0.9889,0.1743
594,1,0.193
595,0.9928,0.2159
596,0.9867,0.2379
597,0.9763,0.2624
598,0.9614,0.2898
599,0.9459,0.3177
600,0.9228,0.3486
601,0.897,0.3829
602,0.8671,0.4185
603,0.8348,0.454
604,0.8032,0.4863
605,0.7684,0.5244
606,0.7318,0.5642
607,0.7089,0.5982
608,0.6778,0.6345
609,0.5775,0.671
610,0.5688,0.7077
611,0.534,0.7453
612,0.4942,0.7787
613,0.4537,0.8098
614,0.4161,0.8404
615,0.3837,0.8686
616,0.3506,0.8947
617,0.3211,0.9165
618,0.2935,0.9365
619,0.2659,0.9536
620,0.2402,0.9686
621,0.2154,0.9799
622,0.1938,0.9878
623,0.1758,0.9933
624,0.1569,1
625,0.138,0.9945
626,0.1235,0.99
627,0.1103,0.9856
628,0.099,0.9787
629,0.0882,0.9708
630,0.0775,0.9608
631,0.0685,0.9489
632,0.0607,0.937
633,0.0538,0.9206
634,0.0468,0.9049
635,0.0419,0.8856
636,0.0371,0.8682
637,0.032,0.8475
638,0.0286,0.8269
639,0.0249,0.8062
640,0.0221,0.7832
641,0.0198,0.7622
642,0.0176,0.741
643,0.0154,0.7199
644,0.0142,0.6998
645,0.012,0.683
646,0.0109,0.6598
647,0.0098,0.642
648,0.0087,0.6245
649,0.0075,0.6048
650,0.0075,0.5879
651,0.0066,0.571
652,0.0053,0.5567
653,0.0054,0.5411
654,0.0051,0.5257
655,0.0044,0.5137
656,0.0044,0.4999
657,0.0044,0.4841
658,0.0044,0.4728
659,0.0044,0.4602
660,0.0045,0.4469
661,0.0032,0.4361
662,0.0033,0.4265
663,0.0033,0.4153
664,0.0033,0.4062
665,0.0033,0.3985
666,0.0033,0.3894
667,0.0033,0.3817
668,0.0033,0.375
669,0.0033,0.3683
670,0.0033,0.3618
671,0.0033,0.355
672,0.0033,0.3519
673,0.0033,0.3447
674,0.0033,0.3411
675,0.0033,0.3373
676,0.0033,0.3328
677,0.0033,0.3296
678,0.0033,0.3263
679,0.0033,0.3212
680,0.0033,0.3162
681,0.0033,0.3118
682,0.0033,0.3055
683,0.0033,0.2996
684,0.0033,0.296
685,0.0033,0.2897
686,0.0033,0.2842
687,0.0033,0.2817
688,0.0033,0.2764
689,0.0032,0.2697
690,0.0022,0.2674
691,0.0032,0.2629
692,0.0033,0.2585
693,0.0033,0.2561
694,0.0033,0.2519
695,0.0033,0.2462
696,0.0033,0.2421
697,0.0033,0.2388
698,0.0033,0.2323
699,0.0033,0.2279
700,0.0033,0.2223
701,0.0033,0.2175
702,0.0033,0.2119
703,0.0033,0.2062
704,0.0033,0.202
705,0.0033,0.1956
706,0.0033,0.1898
707,0.0033,0.1832
708,0.0033,0.1786
709,0.0033,0.1733
710,0.0033,0.1664
711,0.0033,0.1642
712,0.0033,0.1609
713,0.0033,0.1553
714,0.0033,0.152
715,0.0033,0.1475
716,0.0033,0.1444
717,0.0033,0.1406
718,0.0033,0.1355
719,0.0033,0.1331
720,0.0033,0.1282
721,0.0033,0.1235
722,0.0033,0.1201
723,0.0033,0.1163
724,0.0033,0.1124
725,0.0033,0.1103
726,0.0033,0.1061
727,0.0033,0.1037
728,0.0033,0.1003
729,0.0033,0.097
730,0.0033,0.0926
731,0.0033,0.0915
732,0.0033,0.0882
733,0.0033,0.0859
734,0.0033,0.0837
735,0.0033,0.0815
