Type: Filter
Name: LSM880Airyscan_BP555-620_LP645_2140-858
wavelength,transmision
520.3611368,0.003399359
521.6578816,0.001995104
522.9546264,0.001387859
524.2513712,0.001236047
525.548116,0.001236047
526.8448607,0.001236047
528.1416055,0.001236047
529.4383503,0.001311953
530.7350951,0.001236047
532.0318399,0.001577623
533.3285847,0.001653528
534.6253294,0.001501717
535.9220742,0.001236047
537.218819,0.001236047
538.5155638,0.001236047
539.8123086,0.001236047
541.1090534,0.001236047
542.4057981,0.001236047
543.7025429,0.001236047
544.9992877,0.001236047
546.2960325,0.001311953
547.6938223,0.003502374
548.5882581,0.011162823
548.9109558,0.024311374
549.0074079,0.036841233
549.2431797,0.050290093
549.4789515,0.066571861
549.7147233,0.08313195
549.842433,0.104214753
549.7540186,0.095030165
549.950495,0.127176221
549.8620806,0.115417166
550.0782048,0.148780875
550.0683809,0.138726535
550.2134713,0.171825304
550.0389095,0.160087658
550.3255865,0.197547111
550.2452098,0.185345273
550.4006048,0.216162979
550.3630957,0.205801854
550.5399245,0.236904206
550.5399245,0.226119274
550.6850148,0.260363441
550.5399245,0.24838494
550.8029007,0.300602209
550.7953439,0.283348994
550.6872819,0.272807593
550.9407365,0.315682916
551.0386725,0.343249523
550.9525251,0.330211263
550.8935822,0.324784007
551.1565584,0.373243945
551.070411,0.359713271
551.0114681,0.354007694
551.2472398,0.402992159
551.1882969,0.38991108
551.1293539,0.383648862
551.3923302,0.432140913
551.3061828,0.418995607
551.3061828,0.412872548
551.5124831,0.461404742
551.4240687,0.448636775
551.3061828,0.44376616
551.6008975,0.491985243
551.5419546,0.478834584
551.4830116,0.472154884
551.7459878,0.521257101
551.6598404,0.508058271
551.6598404,0.501796052
551.8638737,0.544989303
551.7482549,0.533524626
551.9817596,0.568625164
551.8661408,0.557112316
552.0724411,0.59221553
551.9840266,0.580700006
552.1903269,0.615316159
552.1019125,0.603661474
552.3082128,0.639947552
552.2610585,0.627624898
552.4153818,0.662336565
552.3671558,0.651463076
552.5439846,0.687818734
552.4850417,0.674633285
552.6815182,0.709492968
552.632399,0.699473419
552.7583226,0.730651677
552.7404611,0.720417061
552.9083592,0.746705728
552.9893313,0.761515769
553.1548479,0.775625792
553.2727337,0.790655116
553.3906196,0.8057983
553.5106489,0.820250741
553.6156745,0.834642458
553.7335604,0.849823594
553.9324184,0.863705899
554.1943871,0.87533739
554.4944602,0.887207141
554.6954021,0.899655673
555.7269036,0.906563089
557.0417847,0.910349615
557.9485992,0.919726886
558.7193916,0.930292373
559.3342118,0.939441635
560.3735724,0.948500977
561.2675404,0.944952387
561.739084,0.936728007
562.2761197,0.928044397
563.0161811,0.919416451
564.3325735,0.914229563
565.6686136,0.916146181
566.8003182,0.924760211
567.4683382,0.935141578
568.2817508,0.944795831
569.4016668,0.953662564
570.6984116,0.957192178
571.9362134,0.950630132
573.1740152,0.943680967
574.47076,0.941024268
575.7085619,0.934223119
576.9463637,0.927588963
578.2431085,0.930397473
579.5398533,0.934800002
580.836598,0.932257162
582.1333428,0.926678095
583.4300876,0.925084075
584.7449687,0.932187095
585.509166,0.940986315
586.4361778,0.951840827
587.6739796,0.957989187
588.9707244,0.960114546
590.2674692,0.962467623
591.564214,0.964023689
592.8609588,0.963264632
594.1577035,0.958065093
595.4544483,0.950170902
596.7511931,0.948614836
598.0479379,0.955674064
599.3446827,0.963264632
600.6414275,0.967743067
601.9381722,0.969223228
603.234917,0.96497251
604.5316618,0.959469348
605.8284066,0.959924782
607.1251514,0.96242967
608.4218961,0.963188727
609.7186409,0.965048416
611.0153857,0.969185275
612.3121305,0.973360088
613.6088753,0.97138654
614.6934255,0.960858422
615.3182207,0.951701667
615.9665931,0.942364003
616.6648403,0.933632223
617.7938243,0.935002417
618.206425,0.92247798
618.5600826,0.910046317
618.7958544,0.897020902
618.9137403,0.88391663
619.0709215,0.870710307
619.2566811,0.857414162
619.3852839,0.845406968
619.4638744,0.834317282
619.6424894,0.821245105
619.7389415,0.809241164
619.8461105,0.796765524
619.9157704,0.785544134
619.9157704,0.776359547
619.9305061,0.766253022
620.0604485,0.753157711
620.0925992,0.740058559
620.048392,0.730600621
620.1515421,0.720973702
620.1662779,0.711893486
620.3176541,0.699239376
620.3873139,0.688271005
620.3873139,0.679086418
620.4020496,0.668788548
620.5051998,0.657829665
620.4630977,0.646602402
620.6466629,0.634889071
620.5809836,0.621971009
620.7645488,0.610007189
620.7409716,0.597816737
620.7557073,0.588110298
620.8824346,0.57527275
620.8588575,0.563304955
620.8735932,0.553876837
620.9885319,0.540955792
620.9767434,0.528793172
620.9914791,0.51948682
621.0628907,0.500864748
621.109365,0.486766728
621.1535722,0.512511404
621.2243037,0.474075298
621.2125151,0.461996174
621.2272509,0.452742007
621.3631471,0.440704631
621.330401,0.429293477
621.3451368,0.419813174
621.4567073,0.409651979
621.4482869,0.39979147
621.4630227,0.389650155
621.572722,0.377804124
621.5661728,0.366392971
621.5809085,0.356147285
621.6906079,0.344312852
621.6840587,0.332855311
621.6987944,0.322696601
621.7783674,0.310130416
621.9198305,0.295810809
622.0442656,0.281968987
622.0966593,0.270332526
622.1752499,0.256804145
622.2931358,0.240522377
622.4031626,0.22525648
622.5092599,0.21456896
622.5239957,0.204705966
622.6753719,0.191949068
622.7932577,0.176198639
622.9336491,0.161632339
623.0397464,0.149919008
623.1576323,0.138448214
623.231311,0.1268979
623.3816155,0.114749196
623.4877128,0.100513086
623.6439116,0.08801996
623.7339633,0.076011576
623.8817885,0.065229957
624.1301909,0.055560793
624.2354462,0.045310138
624.4543771,0.035098414
624.7222996,0.02226192
625.173481,0.0122993
625.967246,0.004054046
627.2836384,0.001691481
628.5803832,0.001653528
629.877128,0.001653528
631.1738728,0.001653528
632.4706176,0.001653528
633.7673623,0.001653528
635.0641071,0.001653528
636.3608519,0.001653528
637.6575967,0.003475265
638.9543415,0.010344729
640.0260314,0.017403957
640.5163295,0.028007032
640.8405157,0.046393601
640.7815728,0.035260768
640.9584016,0.062757601
641.0762875,0.078166454
641.2236448,0.094160413
641.3227762,0.110084792
641.4406621,0.125076164
641.5263972,0.140598875
641.6764338,0.156728832
641.8108073,0.179468422
641.6951884,0.168019802
641.9286931,0.21228887
641.9014887,0.199479995
641.8130743,0.191607492
642.046579,0.24504509
641.9604317,0.231964012
641.9309602,0.22458851
642.1372605,0.277817368
642.0783175,0.264666709
642.0488461,0.257152046
642.2551464,0.310172164
642.2551464,0.297647727
642.166732,0.289506842
642.3926799,0.343501083
642.3140893,0.330767905
642.3258779,0.322529608
642.5181226,0.37581306
642.4319752,0.362496479
642.3730323,0.355051397
642.6186279,0.409358748
642.5498611,0.397008261
642.5380725,0.388658637
642.7266899,0.441330853
642.667747,0.428180194
642.6972185,0.420595951
642.8445758,0.472224464
642.7856329,0.459073805
642.7659852,0.452394106
642.9624617,0.503118076
642.9035188,0.489967417
642.8838711,0.483287717
643.107552,0.534166905
643.0214047,0.520861029
643.001757,0.514181329
643.2254379,0.564064985
643.1392905,0.550780518
642.9624617,0.545214101
643.3433238,0.595247622
643.2571764,0.58209161
643.1982335,0.575968552
643.4438291,0.627040424
643.3750623,0.614794307
643.4045338,0.607001324
643.5518912,0.657446974
643.4929482,0.644296315
643.5518912,0.637755776
643.6804939,0.688979458
643.6108341,0.676581531
643.5518912,0.668788548
643.8073106,0.713737361
643.7876629,0.701173164
643.8948319,0.734409008
643.8269582,0.724313552
644.0127178,0.754979447
643.9448441,0.745187614
644.1413206,0.776150806
644.06273,0.765783355
644.2788541,0.797094448
644.2592065,0.786379097
644.3770924,0.816820437
644.2002636,0.806557356
644.4842614,0.837602779
644.4949783,0.8278489
644.6400686,0.857843321
644.4360353,0.847887999
644.7307501,0.880138425
644.5735689,0.868762061
644.9783104,0.895021631
645.2140822,0.907337327
645.4773607,0.921816968
645.9096089,0.935280738
647.2063537,0.938215758
648.4658714,0.945930172
649.49334,0.942906729
650.6250445,0.93703922
651.9217893,0.94064474
653.2185341,0.946147901
654.5152789,0.950929959
655.8120236,0.956319262
657.1087684,0.958140999
658.4055132,0.953245082
659.702258,0.948690742
660.9990028,0.951081771
662.2957476,0.954421621
663.4746065,0.948825685
664.3250689,0.937646465
665.0178399,0.927892585
665.8126766,0.919486031
667.129069,0.914571139
668.4258138,0.91859414
669.6046727,0.926931113
670.6067028,0.935819985
671.5497899,0.944482721
672.6697058,0.953396894
673.9664506,0.959317537
675.2631954,0.961708566
676.5599402,0.964592982
677.8566849,0.966832199
679.1534297,0.964099595
680.4501745,0.955977687
681.7469193,0.950854054
683.0436641,0.954725243
684.3404089,0.962998962
685.6371536,0.967667162
686.9338984,0.96523818
688.2306432,0.961594707
689.527388,0.959013914
690.8241328,0.955066819
692.1208776,0.948690742
693.4176223,0.945237033
694.7143671,0.950246808
696.0111119,0.959393443
697.3078567,0.961822424
698.4277726,0.954763196
699.3040577,0.94385302
700.2697397,0.935402504
701.4338628,0.93062519
702.7306076,0.934420474
703.9094665,0.942841787
705.0293824,0.951715583
706.2671843,0.959735018
707.5639291,0.964061642
708.8606738,0.962050141
710.0984757,0.954554455
711.3362775,0.945920184
712.6330223,0.942808052
713.9297671,0.948083496
715.2265119,0.955825876
716.5232566,0.960494075
717.8200014,0.961025415
719.1167462,0.961518802
720.413491,0.966073142
721.7102358,0.972676936
723.0069806,0.976586079
724.3037253,0.975409541
725.6004701,0.970437719
726.8972149,0.962885104
728.0171308,0.953719493
728.9119919,0.943301438
729.5496474,0.934584936
730.3813979,0.92683834
731.6126505,0.919011621
732.9093953,0.918252564
734.1471971,0.925581257
735.326056,0.93509983
736.5049149,0.944242669
737.7427167,0.952865554
739.0394615,0.960152499
740.3362063,0.962619434
741.6329511,0.957799423
742.81181,0.94831543
743.9906689,0.93984773
745.2874136,0.936887408
746.5841584,0.938253711
747.8219603,0.934181371
748.7532588,0.923535599
749.2955339,0.914559753
749.8325696,0.905407636
750.4154498,0.896733304
751.0048793,0.887089487
751.5877595,0.876972525
751.9938109,0.865422211
752.301624,0.85498518
752.5963388,0.845144551
752.7310655,0.835542482
752.9892917,0.824972918
753.0384109,0.814280759
753.3331256,0.803426247
753.3953431,0.792223834
753.5562667,0.782045244
753.7966315,0.770160583
753.8930836,0.757473491
754.0240679,0.745790643
754.0993839,0.733967806
754.2598397,0.721994212
754.3646271,0.710536672
754.381468,0.700517122
754.5349067,0.689755383
754.6527926,0.677416493
754.7706785,0.665031216
754.8885644,0.652414006
755.0045791,0.641175146
755.0719424,0.630797755
755.1544626,0.618690799
755.2291236,0.605656107
755.3666572,0.594059406
755.4727545,0.581409724
755.5906404,0.567215362
755.7085262,0.552979252
755.8578484,0.539322977
755.8971437,0.52791845
755.9828789,0.514965688
756.0739725,0.500752349
756.2079337,0.486463105
756.2769982,0.472525979
756.4222717,0.45860572
756.5401576,0.443120962
756.6580435,0.42759825
756.8107593,0.411654895
