Type: filter
Name: API-0058 Reflectance
wavelength,reflection
400,0.03
401,0.03
402,0.02
403,0.02
404,0.02
405,0.02
406,0.01
407,0.01
408,0.01
409,0.01
410,0.01
411,0.02
412,0.02
413,0.02
414,0.02
415,0.02
416,0.02
417,0.02
418,0.02
419,0.02
420,0.02
421,0.02
422,0.02
423,0.02
424,0.02
425,0.02
426,0.02
427,0.02
428,0.02
429,0.02
430,0.02
431,0.02
432,0.02
433,0.01
434,0.01
435,0.01
436,0.01
437,0.01
438,0.01
439,0.01
440,0.01
441,0.02
442,0.02
443,0.02
444,0.02
445,0.02
446,0.02
447,0.02
448,0.02
449,0.02
450,0.02
451,0.02
452,0.02
453,0.02
454,0.02
455,0.01
456,0.01
457,0.01
458,0.01
459,0.01
460,0.01
461,0.01
462,0.01
463,0.01
464,0.01
465,0.01
466,0.01
467,0.01
468,0.01
469,0.01
470,0.01
471,0.01
472,0.01
473,0.01
474,0.01
475,0.01
476,0.01
477,0.01
478,0.01
479,0.02
480,0.02
481,0.02
482,0.02
483,0.02
484,0.02
485,0.02
486,0.02
487,0.02
488,0.02
489,0.02
490,0.02
491,0.03
492,0.03
493,0.03
494,0.03
495,0.03
496,0.02
497,0.02
498,0.02
499,0.02
500,0.02
501,0.02
502,0.02
503,0.02
504,0.03
505,0.03
506,0.03
507,0.03
508,0.04
509,0.04
510,0.05
511,0.06
512,0.06
513,0.07
514,0.08
515,0.08
516,0.09
517,0.09
518,0.1
519,0.11
520,0.11
521,0.12
522,0.12
523,0.13
524,0.14
525,0.16
526,0.17
527,0.19
528,0.21
529,0.24
530,0.26
531,0.29
532,0.32
533,0.35
534,0.38
535,0.4
536,0.43
537,0.44
538,0.46
539,0.48
540,0.49
541,0.5
542,0.52
543,0.53
544,0.55
545,0.57
546,0.59
547,0.61
548,0.63
549,0.66
550,0.69
551,0.72
552,0.75
553,0.77
554,0.8
555,0.82
556,0.84
557,0.86
558,0.88
559,0.89
560,0.91
561,0.92
562,0.93
563,0.94
564,0.94
565,0.95
566,0.96
567,0.96
568,0.97
569,0.97
570,0.97
571,0.98
572,0.98
573,0.98
574,0.98
575,0.98
576,0.98
577,0.98
578,0.99
579,0.99
580,0.99
581,0.99
582,0.99
583,0.99
584,0.99
585,0.99
586,0.99
587,0.99
588,0.99
589,0.99
590,0.99
591,0.99
592,0.99
593,0.99
594,0.99
595,0.99
596,0.99
597,0.99
598,1
599,1
600,1
601,1
602,1
603,1
604,1
605,1
606,1
607,1
608,1
609,1
610,1
611,1
612,1
613,1
614,1
615,1
616,1
617,1
618,1
619,1
620,1
621,1
622,1
623,1
624,1
625,1
626,1
627,1
628,1
629,1
630,1
631,1
632,1
633,1
634,1
635,1
636,1
637,1
638,1
639,1
640,1
641,1
642,1
643,1
644,1
645,1
646,1
647,1
648,1
649,1
650,1
651,1
652,1
653,1
654,0.99
655,0.99
656,0.99
657,0.99
658,0.99
659,0.99
660,0.99
661,0.99
662,0.99
663,0.99
664,0.99
665,0.99
666,0.99
667,0.99
668,0.99
669,0.99
670,0.99
671,0.99
672,0.99
673,0.99
674,0.99
675,0.99
676,0.99
677,0.99
678,0.99
679,0.99
680,0.99
681,0.99
682,0.99
683,0.99
684,0.99
685,0.99
686,0.98
687,0.98
688,0.98
689,0.98
690,0.98
691,0.98
692,0.98
693,0.98
694,0.98
695,0.98
696,0.97
697,0.97
698,0.97
699,0.97
700,0.97
701,0.96
702,0.96
703,0.95
704,0.95
705,0.95
706,0.94
707,0.94
708,0.93
709,0.92
710,0.92
711,0.91
712,0.9
713,0.89
714,0.89
715,0.88
716,0.86
717,0.85
718,0.84
719,0.83
720,0.82
721,0.8
722,0.79
723,0.78
724,0.77
725,0.75
726,0.74
727,0.73
728,0.72
729,0.71
730,0.7
731,0.7
732,0.69
733,0.69
734,0.68
735,0.68
736,0.68
737,0.68
738,0.68
739,0.68
740,0.68
741,0.69
742,0.69
743,0.69
744,0.69
745,0.7
746,0.7
747,0.7
748,0.7
749,0.7
750,0.69
751,0.69
752,0.68
753,0.67
754,0.66
755,0.65
756,0.63
757,0.62
758,0.6
759,0.58
760,0.56
761,0.55
762,0.53
763,0.52
764,0.51
765,0.5
766,0.5
767,0.5
768,0.51
769,0.52
770,0.53
771,0.54
772,0.55
773,0.56
774,0.57
775,0.59
776,0.6
777,0.6
778,0.61
779,0.62
780,0.63
781,0.63
782,0.64
783,0.64
784,0.64
785,0.64
786,0.64
787,0.65
788,0.65
789,0.65
790,0.64
791,0.64
792,0.64
793,0.64
794,0.64
795,0.63
796,0.63
797,0.63
798,0.62
799,0.62
800,0.62
