Type: Filter
Name: DV-EM-Cy5.csv
wavelength,transmision
486.528854,0.034868
486.644171,0.028988
486.759487,0.021021
486.874803,0.031040
486.990120,0.026896
487.105436,0.024798
487.220753,0.024301
487.336069,0.023913
487.451386,0.022247
487.566702,0.023084
487.682018,0.027991
487.797335,0.026746
487.912651,0.027781
488.027968,0.025993
488.143284,0.023904
488.258600,0.030320
488.373917,0.033279
488.489233,0.033859
488.604550,0.035766
488.719866,0.044027
488.835183,0.049589
488.950499,0.048818
489.065815,0.047289
489.181132,0.053459
489.296448,0.047508
489.411765,0.049184
489.527081,0.047650
489.642398,0.052230
489.757714,0.050051
489.873030,0.045286
489.988347,0.044017
490.103663,0.052035
490.218980,0.048635
490.334296,0.048545
490.449613,0.050003
490.564929,0.054806
490.680245,0.052284
490.795562,0.042638
490.910878,0.046283
491.026195,0.045963
491.141511,0.045836
491.256828,0.042529
491.372144,0.040575
491.487460,0.045085
491.602777,0.040974
491.718093,0.036616
491.833410,0.036646
491.948726,0.039840
492.064043,0.040051
492.179359,0.030813
492.294675,0.026508
492.409992,0.026143
492.525308,0.026205
492.640625,0.032554
492.755941,0.032277
492.871257,0.036876
492.986574,0.033471
493.101890,0.034241
493.217207,0.035609
493.332523,0.036682
493.447840,0.036170
493.563156,0.033368
493.678472,0.037463
493.793789,0.037308
493.909105,0.035154
494.024422,0.040376
494.139738,0.039348
494.255055,0.036495
494.370371,0.035263
494.485687,0.033697
494.601004,0.032878
494.716320,0.025056
494.831637,0.024898
494.946953,0.022628
495.062270,0.019090
495.177586,0.019580
495.292902,0.018544
495.408219,0.015318
495.523535,0.012610
495.638852,0.004380
495.754168,0.006030
495.869485,0.006987
495.984801,0.005998
496.100117,0.004753
496.215434,0.002203
496.330750,0.000468
496.446067,0.002314
496.561383,0.003551
496.676699,0.002173
496.792016,0.001656
496.907332,0.004714
497.022649,0.001746
497.137965,0.003740
497.253282,0.002923
497.368598,0.001521
497.483914,0.009896
497.599231,0.013414
497.714547,0.013926
497.829864,0.015551
497.945180,0.013375
498.060497,0.020059
498.175813,0.025437
498.291129,0.025682
498.406446,0.031370
498.521762,0.031806
498.637079,0.034093
498.752395,0.035021
498.867712,0.038229
498.983028,0.039106
499.098344,0.041753
499.213661,0.044522
499.328977,0.048011
499.444294,0.046825
499.559610,0.044024
499.674927,0.043333
499.790243,0.043859
499.905559,0.041467
500.020876,0.039245
500.136192,0.038548
500.251509,0.040233
500.366825,0.036739
500.482141,0.032991
500.597458,0.035631
500.712774,0.033087
500.828091,0.030262
500.943407,0.029206
501.058724,0.029340
501.174040,0.027142
501.289356,0.022842
501.404673,0.019243
501.519989,0.025993
501.635306,0.025785
501.750622,0.022203
501.865939,0.020974
501.981255,0.022510
502.096571,0.023464
502.211888,0.021965
502.327204,0.019586
502.442521,0.019165
502.557837,0.018464
502.673154,0.016149
502.788470,0.016238
502.903786,0.017814
503.019103,0.016643
503.134419,0.016726
503.249736,0.017918
503.365052,0.017218
503.480369,0.016972
503.595685,0.015542
503.711001,0.013505
503.826318,0.018425
503.941634,0.016055
504.056951,0.012465
504.172267,0.015442
504.287583,0.016011
504.402900,0.013096
504.518216,0.010882
504.633533,0.007251
504.748849,0.009513
504.864166,0.006932
504.979482,0.005110
505.094798,0.005561
505.210115,0.005805
505.325431,0.006346
