Type: Dichroic
Name: FF444/520/590-Di01
Typical Measured Spectrum of Semrock FF444/520/590-Di01 Optical Filter	
For wavelengths between 320 and 1120 nm, values near or below 3e-7 (Optical Density 6.5) are measurement noise limited.
For wavelengths < 320 nm and > 1120 nm, values near or below 3e-6 (Optical Density 5.5) are measurement noise limited. 
Data format:  Wavelength (nm) <tab> Transmission (0 to 1)
366.0,0.00155
366.2,0.00147
366.4,0.00139
366.6,0.00132
366.8,0.00125
367.0,0.00119
367.2,0.00113
367.4,0.00107
367.6,0.00101
367.8,9.5901e-04
368.0,8.2115e-04
368.2,6.5882e-04
368.4,5.2858e-04
368.6,4.2409e-04
368.8,3.4025e-04
369.0,2.7299e-04
369.2,2.1902e-04
369.4,1.7573e-04
369.6,1.4099e-04
369.8,1.1312e-04
370.0,9.752e-05
370.2,9.1325e-05
370.4,8.5523e-05
370.6,8.009e-05
370.8,7.5001e-05
371.0,7.0237e-05
371.2,6.5774e-05
371.4,6.1596e-05
371.6,5.7683e-05
371.8,5.4018e-05
372.0,5.6685e-05
372.2,5.6044e-05
372.4,5.541e-05
372.6,5.5119e-05
372.8,5.5008e-05
373.0,5.4898e-05
373.2,5.4836e-05
373.4,5.4901e-05
373.6,5.4967e-05
373.8,5.5032e-05
374.0,5.9849e-05
374.2,6.5756e-05
374.4,7.2246e-05
374.6,8.0821e-05
374.8,9.2028e-05
375.0,1.0479e-04
375.2,1.2004e-04
375.4,1.4348e-04
375.6,1.7148e-04
375.8,2.0496e-04
376.0,2.8421e-04
376.2,4.1468e-04
376.4,6.0505e-04
376.6,9.1098e-04
376.8,0.00145
377.0,0.0023
377.2,0.00366
377.4,0.00439
377.6,0.00525
377.8,0.00627
378.0,0.00663
378.2,0.00647
378.4,0.00631
378.6,0.00586
378.8,0.00457
379.0,0.00357
379.2,0.00279
379.4,0.00223
379.6,0.00179
379.8,0.00143
380.0,0.00127
380.2,0.00124
380.4,0.00122
380.6,0.0012
380.8,0.00114
381.0,0.00107
381.2,0.00102
381.4,0.00104
381.6,0.0011
381.8,0.00116
382.0,0.00125
382.2,0.00144
382.4,0.00172
382.6,0.00208
382.8,0.00255
383.0,0.00317
383.2,0.00399
383.4,0.005
383.6,0.0063
383.8,0.00781
384.0,0.00946
384.2,0.01122
384.4,0.01272
384.6,0.01412
384.8,0.01517
385.0,0.01577
385.2,0.01614
385.4,0.01616
385.6,0.01604
385.8,0.01586
386.0,0.01573
386.2,0.01583
386.4,0.01615
386.6,0.01656
386.8,0.01708
387.0,0.01779
387.2,0.01846
387.4,0.01902
387.6,0.01948
387.8,0.01979
388.0,0.01984
388.2,0.01969
388.4,0.01928
388.6,0.01869
388.8,0.01798
389.0,0.0171
389.2,0.0162
389.4,0.01537
389.6,0.01463
389.8,0.01395
390.0,0.01342
390.2,0.01308
390.4,0.01299
390.6,0.0131
390.8,0.01328
391.0,0.01364
391.2,0.01409
391.4,0.01459
391.6,0.01513
391.8,0.01572
392.0,0.01611
392.2,0.01642
392.4,0.0166
392.6,0.01663
392.8,0.0165
393.0,0.01608
393.2,0.01553
393.4,0.01483
393.6,0.01395
393.8,0.01302
394.0,0.012
394.2,0.01111
394.4,0.01025
394.6,0.00947
394.8,0.00876
395.0,0.00823
395.2,0.00771
395.4,0.00728
395.6,0.00698
395.8,0.00681
396.0,0.00662
396.2,0.00654
396.4,0.00652
396.6,0.00661
396.8,0.00685
397.0,0.00704
397.2,0.00738
397.4,0.00781
397.6,0.00836
397.8,0.00908
398.0,0.0098
398.2,0.01076
398.4,0.01182
398.6,0.0129
398.8,0.01418
399.0,0.01558
399.2,0.01686
399.4,0.01808
399.6,0.01913
399.8,0.02025
400.0,0.02097
400.2,0.02162
400.4,0.02192
400.6,0.02224
400.8,0.02246
401.0,0.02229
401.2,0.02218
401.4,0.022
401.6,0.02191
401.8,0.02185
402.0,0.02137
402.2,0.02107
402.4,0.02109
402.6,0.0215
402.8,0.02188
403.0,0.02229
403.2,0.02287
403.4,0.02325
403.6,0.02367
403.8,0.02405
404.0,0.02421
404.2,0.02433
404.4,0.02411
404.6,0.02381
404.8,0.0233
405.0,0.02218
405.2,0.02132
405.4,0.02011
405.6,0.01869
405.8,0.01724
406.0,0.0158
406.2,0.01446
406.4,0.01323
406.6,0.01203
406.8,0.01104
407.0,0.01043
407.2,0.0099
407.4,0.00965
407.6,0.00945
407.8,0.00938
408.0,0.00958
408.2,0.0098
408.4,0.01021
408.6,0.01072
408.8,0.01126
409.0,0.01175
409.2,0.0124
409.4,0.01279
409.6,0.01326
409.8,0.01356
410.0,0.01369
410.2,0.01338
410.4,0.01301
410.6,0.01255
410.8,0.01171
411.0,0.01071
411.2,0.00965
411.4,0.00861
411.6,0.00757
411.8,0.00661
412.0,0.00571
412.2,0.00488
412.4,0.00429
412.6,0.00376
412.8,0.00337
413.0,0.00302
413.2,0.00275
413.4,0.00254
413.6,0.00231
413.8,0.00216
414.0,0.00206
414.2,0.00196
414.4,0.00185
414.6,0.0018
414.8,0.00175
415.0,0.00175
415.2,0.00176
415.4,0.00176
415.6,0.00176
415.8,0.00183
416.0,0.00185
416.2,0.00201
416.4,0.00202
416.6,0.0022
416.8,0.00238
417.0,0.0026
417.2,0.00283
417.4,0.00312
417.6,0.00357
417.8,0.00411
418.0,0.00485
418.2,0.00577
418.4,0.00699
418.6,0.00856
418.8,0.0105
419.0,0.01291
419.2,0.01553
419.4,0.01834
419.6,0.02083
419.8,0.02297
420.0,0.02449
420.2,0.02553
420.4,0.02566
420.6,0.0253
420.8,0.02443
421.0,0.023
421.2,0.02097
421.4,0.01868
421.6,0.01635
421.8,0.01407
422.0,0.01245
422.2,0.01067
422.4,0.00937
422.6,0.00837
422.8,0.00752
423.0,0.0069
423.2,0.00652
423.4,0.00647
423.6,0.00672
423.8,0.007
424.0,0.00737
424.2,0.00775
424.4,0.0081
424.6,0.00846
424.8,0.0084
425.0,0.00862
425.2,0.00895
425.4,0.00931
425.6,0.00961
425.8,0.00997
426.0,0.01036
426.2,0.01122
426.4,0.01225
426.6,0.0137
426.8,0.01516
427.0,0.01669
427.2,0.01845
427.4,0.02005
427.6,0.02133
427.8,0.02262
428.0,0.02315
428.2,0.02389
428.4,0.02375
428.6,0.02315
428.8,0.02246
429.0,0.02136
429.2,0.01985
429.4,0.01846
429.6,0.01694
429.8,0.01544
430.0,0.01412
430.2,0.01283
430.4,0.01185
430.6,0.01099
430.8,0.01009
431.0,0.00935
431.2,0.00876
431.4,0.00816
431.6,0.0077
431.8,0.00675
432.0,0.0067
432.2,0.00664
432.4,0.00636
432.6,0.0061
432.8,0.0058
433.0,0.00548
433.2,0.00517
433.4,0.0052
433.6,0.00524
433.8,0.00543
434.0,0.00563
434.2,0.00575
434.4,0.00588
434.6,0.006
434.8,0.00609
435.0,0.00618
435.2,0.00647
435.4,0.00677
435.6,0.00708
435.8,0.00745
436.0,0.00798
436.2,0.00847
436.4,0.00902
436.6,0.00971
436.8,0.01045
437.0,0.01127
437.2,0.01226
437.4,0.01333
437.6,0.01465
437.8,0.01608
438.0,0.01872
438.2,0.02074
438.4,0.02318
438.6,0.02588
438.8,0.02898
439.0,0.03256
439.2,0.03663
439.4,0.03884
439.6,0.04399
439.8,0.05005
440.0,0.05705
440.2,0.06492
440.4,0.07389
440.6,0.08464
440.8,0.09495
441.0,0.10849
441.2,0.12351
441.4,0.14003
441.6,0.15827
441.8,0.17847
442.0,0.19998
442.2,0.21889
442.4,0.24174
442.6,0.26497
442.8,0.28902
443.0,0.31175
443.2,0.33424
443.4,0.35556
443.6,0.36308
443.8,0.37649
444.0,0.39267
444.2,0.40675
444.4,0.41909
444.6,0.43027
444.8,0.43981
445.0,0.44937
445.2,0.45863
445.4,0.46866
445.6,0.48041
445.8,0.49288
446.0,0.50945
446.2,0.53044
446.4,0.5549
446.6,0.58861
446.8,0.62036
447.0,0.65648
447.2,0.69247
447.4,0.73095
447.6,0.76849
447.8,0.80415
448.0,0.83325
448.2,0.85888
448.4,0.88207
448.6,0.89834
448.8,0.91107
449.0,0.91846
449.2,0.92327
449.4,0.92583
449.6,0.92556
449.8,0.92679
450.0,0.92754
450.2,0.92689
450.4,0.9254
450.6,0.92563
450.8,0.92684
451.0,0.92669
451.2,0.92751
451.4,0.92809
451.6,0.92952
451.8,0.9272
452.0,0.92819
452.2,0.92978
452.4,0.92896
452.6,0.92897
452.8,0.92928
453.0,0.92777
453.2,0.92824
453.4,0.92949
453.6,0.92832
453.8,0.92807
454.0,0.92895
454.2,0.92921
454.4,0.929
454.6,0.9303
454.8,0.92954
455.0,0.93208
455.2,0.9302
455.4,0.92981
455.6,0.93083
455.8,0.93351
456.0,0.93356
456.2,0.93385
456.4,0.93385
456.6,0.93454
456.8,0.93521
457.0,0.93579
457.2,0.93668
457.4,0.93702
457.6,0.936
457.8,0.93559
458.0,0.93696
458.2,0.93693
458.4,0.93544
458.6,0.93556
458.8,0.93303
459.0,0.9321
459.2,0.9294
459.4,0.93047
459.6,0.92973
459.8,0.92898
460.0,0.92898
460.2,0.92787
460.4,0.92661
460.6,0.92539
460.8,0.9242
461.0,0.92184
461.2,0.92136
461.4,0.92113
461.6,0.9205
461.8,0.92021
462.0,0.91905
462.2,0.91779
462.4,0.91863
462.6,0.91741
462.8,0.91847
463.0,0.91733
463.2,0.91803
463.4,0.91659
463.6,0.91618
463.8,0.91818
464.0,0.91828
464.2,0.91947
464.4,0.91971
464.6,0.91932
464.8,0.92183
465.0,0.92237
465.2,0.9228
465.4,0.92268
465.6,0.92507
465.8,0.92635
466.0,0.92892
466.2,0.92896
466.4,0.92922
466.6,0.93185
466.8,0.93105
467.0,0.93142
467.2,0.93027
467.4,0.93289
467.6,0.93529
467.8,0.93588
468.0,0.93656
468.2,0.93604
468.4,0.93655
468.6,0.93689
468.8,0.93722
469.0,0.93787
469.2,0.93913
469.4,0.93977
469.6,0.93762
469.8,0.93797
470.0,0.9366
470.2,0.93583
470.4,0.93474
470.6,0.93248
470.8,0.93148
471.0,0.92965
471.2,0.93022
471.4,0.92655
471.6,0.92636
471.8,0.92555
472.0,0.92402
472.2,0.92284
472.4,0.92189
472.6,0.92097
472.8,0.92104
473.0,0.921
473.2,0.92138
473.4,0.92145
473.6,0.92157
473.8,0.91963
474.0,0.91913
474.2,0.92031
474.4,0.92126
474.6,0.92038
474.8,0.92106
475.0,0.92079
475.2,0.91932
475.4,0.92168
475.6,0.92248
475.8,0.92345
476.0,0.92488
476.2,0.92402
476.4,0.92506
476.6,0.92622
476.8,0.92679
477.0,0.92717
477.2,0.92533
477.4,0.92734
477.6,0.92961
477.8,0.92737
478.0,0.92931
478.2,0.93054
478.4,0.93218
478.6,0.9321
478.8,0.93462
479.0,0.93544
479.2,0.93455
479.4,0.93449
479.6,0.9358
479.8,0.93741
480.0,0.93878
480.2,0.93774
480.4,0.93473
480.6,0.93501
480.8,0.93384
481.0,0.93214
481.2,0.92957
481.4,0.92663
481.6,0.92267
481.8,0.91809
482.0,0.91245
482.2,0.90514
482.4,0.89672
482.6,0.88817
482.8,0.87568
483.0,0.86238
483.2,0.84743
483.4,0.83126
483.6,0.81102
483.8,0.7909
484.0,0.76949
484.2,0.74541
484.4,0.72318
484.6,0.69914
484.8,0.67598
485.0,0.65191
485.2,0.62849
485.4,0.60551
485.6,0.58393
485.8,0.56272
486.0,0.54357
486.2,0.52555
486.4,0.50728
486.6,0.48782
486.8,0.47093
487.0,0.45407
487.2,0.43567
487.4,0.41621
487.6,0.39711
487.8,0.37839
