Type: Dichroic
Name: NI Channel Splitter Dichroic
Typical Measured Spectrum of Semrock FF640-FDi01 Optical Filter,
For wavelengths between 320 and 1120 nm, values near or below 3e-7 (Optical Density 6.5) are measurement noise limited.
For wavelengths < 320 nm and > 1120 nm, values near or below 3e-6 (Optical Density 5.5) are measurement noise limited. 
Data format:  Wavelength (nm) <tab> Transmission (0 to 1)
633.2,0.11439
633.4,0.1196
633.6,0.12533
633.8,0.13156
634.0,0.13831
634.2,0.14505
634.4,0.15233
634.6,0.1597
634.8,0.16815
635.0,0.17703
635.2,0.18611
635.4,0.19553
635.6,0.20524
635.8,0.21533
636.0,0.22651
636.2,0.23732
636.4,0.24862
636.6,0.25999
636.8,0.27084
637.0,0.28119
637.2,0.29253
637.4,0.30364
637.6,0.31533
637.8,0.32748
638.0,0.33945
638.2,0.35014
638.4,0.36075
638.6,0.36944
638.8,0.3781
639.0,0.38909
639.2,0.39813
639.4,0.40673
639.6,0.41552
639.8,0.42378
640.0,0.42942
640.2,0.4356
640.4,0.44268
640.6,0.44793
640.8,0.45173
641.0,0.45511
641.2,0.45883
641.4,0.46325
641.6,0.46803
641.8,0.47234
642.0,0.47569
642.2,0.47891
642.4,0.48305
642.6,0.48704
642.8,0.49147
643.0,0.49535
643.2,0.50064
643.4,0.5071
643.6,0.51043
643.8,0.51516
644.0,0.52095
644.2,0.5263
644.4,0.53654
644.6,0.54495
644.8,0.55475
645.0,0.56338
645.2,0.57396
645.4,0.58737
645.6,0.60074
645.8,0.61583
646.0,0.63099
646.2,0.64429
646.4,0.66061
646.6,0.67894
646.8,0.69728
647.0,0.71389
647.2,0.73231
647.4,0.7492
647.6,0.7683
647.8,0.78855
648.0,0.80913
648.2,0.82745
648.4,0.8407
648.6,0.8571
648.8,0.8745
649.0,0.88814
649.2,0.90172
649.4,0.91388
649.6,0.923
649.8,0.93394
650.0,0.9403
650.2,0.94299
650.4,0.9477
650.6,0.94974
650.8,0.95592
651.0,0.95727
651.2,0.95999
651.4,0.96057
651.6,0.96081
651.8,0.96056
652.0,0.96164
652.2,0.96181
652.4,0.96248
652.6,0.95981
652.8,0.95913
653.0,0.96044
653.2,0.9603
653.4,0.96059
653.6,0.95832
653.8,0.95631
654.0,0.95563
654.2,0.95758
654.4,0.95676
654.6,0.95386
654.8,0.95416
655.0,0.95531
655.2,0.95566
655.4,0.9548
655.6,0.95671
655.8,0.95991
656.0,0.95969
656.2,0.96163
656.4,0.96067
656.6,0.96055
656.8,0.96108
657.0,0.96279
657.2,0.96301
657.4,0.96464
657.6,0.96592
657.8,0.96437
658.0,0.96444
658.2,0.96404
658.4,0.96331
658.6,0.96306
658.8,0.9627
659.0,0.96329
659.2,0.96341
659.4,0.96378
659.6,0.96553
659.8,0.96676
660.0,0.96544
660.2,0.96572
660.4,0.96667
660.6,0.96706
660.8,0.96487
661.0,0.96152
661.2,0.9602
661.4,0.96106
661.6,0.96246
661.8,0.9618
662.0,0.96021
662.2,0.95974
662.4,0.96005
662.6,0.96062
662.8,0.9605
663.0,0.96151
663.2,0.95945
663.4,0.96011
663.6,0.95965
663.8,0.95716
664.0,0.95792
664.2,0.95937
664.4,0.96054
664.6,0.96241
664.8,0.96375
665.0,0.96528
665.2,0.96546
665.4,0.96606
665.6,0.96665
665.8,0.96378
666.0,0.96357
666.2,0.96313
666.4,0.96535
666.6,0.96609
666.8,0.96606
667.0,0.96561
667.2,0.96715
667.4,0.9696
667.6,0.97402
667.8,0.97519
668.0,0.9743
668.2,0.97258
668.4,0.97224
668.6,0.9719
668.8,0.97273
669.0,0.97289
669.2,0.97316
669.4,0.97376
669.6,0.97493
669.8,0.97504
670.0,0.97548
670.2,0.97682
670.4,0.97718
670.6,0.97723
670.8,0.97742
671.0,0.97754
671.2,0.97726
671.4,0.9763
671.6,0.97624
671.8,0.97598
672.0,0.97482
672.2,0.97415
672.4,0.97125
672.6,0.97184
672.8,0.97318
673.0,0.97429
673.2,0.97544
673.4,0.97724
673.6,0.97425
673.8,0.97312
674.0,0.97141
674.2,0.96993
674.4,0.97021
674.6,0.96942
674.8,0.96773
675.0,0.96645
675.2,0.96678
675.4,0.96535
675.6,0.96587
675.8,0.9629
676.0,0.96401
676.2,0.96644
676.4,0.96564
676.6,0.96272
676.8,0.96151
677.0,0.96323
677.2,0.96304
677.4,0.96301
677.6,0.96458
677.8,0.96349
678.0,0.96224
678.2,0.9629
678.4,0.96461
678.6,0.96671
678.8,0.96615
679.0,0.96228
679.2,0.95962
679.4,0.96014
679.6,0.96415
679.8,0.96638
680.0,0.96713
680.2,0.96849
680.4,0.96897
680.6,0.96824
680.8,0.96857
681.0,0.96797
681.2,0.97185
681.4,0.97341
681.6,0.97598
681.8,0.97587
682.0,0.97556
682.2,0.97351
682.4,0.97215
682.6,0.97092
682.8,0.97415
683.0,0.97832
683.2,0.98196
683.4,0.98034
683.6,0.97991
683.8,0.97944
684.0,0.97871
684.2,0.98158
684.4,0.98411
684.6,0.98268
684.8,0.9798
685.0,0.98077
685.2,0.97911
685.4,0.9797
685.6,0.98166
685.8,0.98173
686.0,0.97908
686.2,0.97852
686.4,0.98246
686.6,0.98197
686.8,0.98134
687.0,0.97944
687.2,0.98306
687.4,0.9818
687.6,0.98074
687.8,0.9786
688.0,0.97738
688.2,0.97983
688.4,0.97844
688.6,0.97794
688.8,0.97925
689.0,0.97862
689.2,0.98035
689.4,0.97935
689.6,0.97743
689.8,0.97797
690.0,0.9775
690.2,0.9745
690.4,0.97286
690.6,0.97172
690.8,0.97045
691.0,0.97132
691.2,0.97213
691.4,0.97092
691.6,0.96975
691.8,0.96808
692.0,0.97162
692.2,0.96943
692.4,0.96779
692.6,0.96759
692.8,0.96686
693.0,0.96401
693.2,0.96632
693.4,0.96795
693.6,0.96722
693.8,0.96584
694.0,0.96487
694.2,0.9635
694.4,0.96359
694.6,0.96788
694.8,0.9653
695.0,0.96185
695.2,0.96335
695.4,0.96382
695.6,0.9646
695.8,0.96167
696.0,0.95975
696.2,0.9612
696.4,0.96154
696.6,0.9638
696.8,0.96415
697.0,0.96396
697.2,0.96259
697.4,0.96048
697.6,0.96199
697.8,0.96654
698.0,0.96767
698.2,0.96656
698.4,0.9673
698.6,0.96712
698.8,0.96643
699.0,0.96414
699.2,0.96254
699.4,0.96321
699.6,0.96248
699.8,0.96458
700.0,0.9661
700.2,0.9649
700.4,0.96554
700.6,0.96547
700.8,0.96437
701.0,0.96377
701.2,0.9669
701.4,0.96922
701.6,0.96486
701.8,0.96968
702.0,0.96864
702.2,0.96851
702.4,0.96812
702.6,0.96798
702.8,0.96594
703.0,0.9655
703.2,0.96451
703.4,0.96398
703.6,0.9655
703.8,0.96875
704.0,0.9707
704.2,0.96997
704.4,0.96613
704.6,0.96516
704.8,0.96237
705.0,0.96117
705.2,0.96499
705.4,0.96501
705.6,0.96446
705.8,0.96357
706.0,0.96196
706.2,0.96237
706.4,0.96048
706.6,0.95773
706.8,0.95757
707.0,0.95872
707.2,0.96045
707.4,0.961
707.6,0.96265
707.8,0.96414
708.0,0.96239
708.2,0.96203
708.4,0.96235
708.6,0.96093
708.8,0.96207
709.0,0.96313
709.2,0.96479
709.4,0.96495
709.6,0.96433
709.8,0.96551
710.0,0.96444
710.2,0.96572
710.4,0.96743
710.6,0.96793
710.8,0.96828
711.0,0.96798
711.2,0.96958
711.4,0.97125
711.6,0.97364
711.8,0.97247
712.0,0.96951
712.2,0.9712
712.4,0.97101
712.6,0.97336
712.8,0.97113
713.0,0.96925
713.2,0.97164
713.4,0.97268
713.6,0.97249
713.8,0.97515
714.0,0.97443
714.2,0.97645
714.4,0.97862
714.6,0.98037
714.8,0.98129
715.0,0.98189
715.2,0.98002
715.4,0.97744
715.6,0.97693
715.8,0.97886
716.0,0.9799
716.2,0.98265
716.4,0.98347
716.6,0.98129
716.8,0.9828
717.0,0.98156
717.2,0.98054
717.4,0.98018
717.6,0.98019
717.8,0.97735
718.0,0.97695
718.2,0.97815
718.4,0.97885
718.6,0.98173
718.8,0.98163
719.0,0.98485
719.2,0.98521
719.4,0.98355
719.6,0.98255
719.8,0.98182
720.0,0.98091
720.2,0.98113
720.4,0.97999
720.6,0.98329
720.8,0.98528
721.0,0.98354
721.2,0.98353
721.4,0.98112
721.6,0.9812
721.8,0.98197
722.0,0.98265
722.2,0.98025
722.4,0.97946
722.6,0.97934
722.8,0.97716
723.0,0.97733
723.2,0.98065
723.4,0.97898
723.6,0.97579
723.8,0.97629
724.0,0.97587
724.2,0.97571
724.4,0.97455
724.6,0.97571
724.8,0.97708
725.0,0.97891
725.2,0.97922
725.4,0.97898
725.6,0.97828
725.8,0.97562
726.0,0.97413
726.2,0.97446
726.4,0.97247
726.6,0.9743
726.8,0.97369
727.0,0.97455
727.2,0.97287
727.4,0.97098
727.6,0.96948
727.8,0.96729
728.0,0.96742
728.2,0.96809
728.4,0.96755
728.6,0.96638
728.8,0.96868
729.0,0.96833
729.2,0.967
729.4,0.96529
729.6,0.96442
729.8,0.96504
730.0,0.964
730.2,0.96466
730.4,0.96643
730.6,0.96621
730.8,0.96354
731.0,0.96185
731.2,0.96244
731.4,0.96512
731.6,0.9678
731.8,0.96763
732.0,0.9659
732.2,0.96562
732.4,0.96581
732.6,0.96448
732.8,0.96345
733.0,0.96515
733.2,0.96805
733.4,0.96892
733.6,0.96719
733.8,0.96458
734.0,0.96335
734.2,0.96452
734.4,0.96737
734.6,0.96727
734.8,0.96681
735.0,0.96168
735.2,0.9632
735.4,0.96445
735.6,0.96626
735.8,0.96668
736.0,0.96478
736.2,0.96388
736.4,0.96683
736.6,0.96528
736.8,0.96388
737.0,0.96539
737.2,0.96538
737.4,0.9628
737.6,0.96371
737.8,0.9697
738.0,0.97207
738.2,0.97309
738.4,0.97151
738.6,0.97122
738.8,0.96842
739.0,0.96829
739.2,0.97051
739.4,0.96719
739.6,0.96596
739.8,0.96551
740.0,0.96749
740.2,0.96694
740.4,0.96522
740.6,0.96581
740.8,0.96479
741.0,0.96599
741.2,0.96325
741.4,0.96178
741.6,0.9588
741.8,0.95898
742.0,0.95962
742.2,0.96137
742.4,0.96146
742.6,0.96395
742.8,0.96328
743.0,0.96298
743.2,0.96331
743.4,0.96314
743.6,0.96396
743.8,0.96302
744.0,0.96085
744.2,0.96099
744.4,0.96204
744.6,0.96181
744.8,0.96041
745.0,0.95985
745.2,0.95908
745.4,0.95844
745.6,0.96006
745.8,0.95871
746.0,0.96122
746.2,0.96106
746.4,0.96143
746.6,0.96076
746.8,0.96252
747.0,0.96167
747.2,0.9595
747.4,0.96121
747.6,0.96043
747.8,0.96007
748.0,0.95976
748.2,0.95799
748.4,0.95853
748.6,0.96235
748.8,0.96225
749.0,0.96398
749.2,0.96319
749.4,0.96151
749.6,0.96307
749.8,0.96317
750.0,0.96365
750.2,0.96388
750.4,0.96433
750.6,0.96682
750.8,0.96404
751.0,0.96351
751.2,0.96534
751.4,0.96799
751.6,0.96877
751.8,0.96854
752.0,0.96697
752.2,0.96619
752.4,0.96916
752.6,0.96968
752.8,0.9694
753.0,0.9688
753.2,0.96841
753.4,0.96881
753.6,0.97149
753.8,0.97011
754.0,0.96722
754.2,0.96897
754.4,0.9711
754.6,0.96955
754.8,0.96931
755.0,0.97101
755.2,0.97287
755.4,0.97231
755.6,0.97148
755.8,0.9726
756.0,0.97336
756.2,0.97615
756.4,0.97752
756.6,0.97926
756.8,0.97982
757.0,0.97681
757.2,0.97613
757.4,0.97799
757.6,0.98027
757.8,0.97999
758.0,0.98199
758.2,0.98097
758.4,0.97601
758.6,0.97438
758.8,0.97898
759.0,0.97819
759.2,0.97643
759.4,0.97475
759.6,0.97532
759.8,0.97681
760.0,0.97655
760.2,0.97751
760.4,0.97865
760.6,0.97848
760.8,0.97944
761.0,0.97781
761.2,0.97528
761.4,0.97555
761.6,0.97561
761.8,0.97617
762.0,0.97801
762.2,0.97762
762.4,0.9743
762.6,0.97364
762.8,0.97435
763.0,0.97394
763.2,0.97414
763.4,0.97441
763.6,0.97656
763.8,0.9737
764.0,0.97346
764.2,0.97291
764.4,0.97471
764.6,0.97476
764.8,0.97433
765.0,0.97639
765.2,0.97424
765.4,0.97105
765.6,0.97037
765.8,0.96963
766.0,0.96936
766.2,0.96761
766.4,0.96356
766.6,0.96356
766.8,0.96392
767.0,0.96462
767.2,0.96231
767.4,0.96262
767.6,0.96493
767.8,0.96835
768.0,0.96955
768.2,0.97016
768.4,0.96828
768.6,0.96912
768.8,0.96854
769.0,0.96701
769.2,0.96828
769.4,0.96602
769.6,0.96741
769.8,0.96848
770.0,0.96632
770.2,0.96547
770.4,0.96513
770.6,0.96361
770.8,0.96325
771.0,0.9631
771.2,0.96631
771.4,0.96729
771.6,0.9654
771.8,0.96392
772.0,0.96381
772.2,0.96254
772.4,0.96427
772.6,0.96608
772.8,0.9687
773.0,0.96623
773.2,0.96685
773.4,0.96841
773.6,0.96596
773.8,0.96627
774.0,0.96475
774.2,0.96442
774.4,0.96505
774.6,0.96282
774.8,0.96335
775.0,0.96554
775.2,0.967
775.4,0.96771
775.6,0.96671
775.8,0.96461
776.0,0.96676
776.2,0.96821
776.4,0.9675
776.6,0.96696
776.8,0.96855
777.0,0.97269
777.2,0.97368
777.4,0.97335
777.6,0.97331
777.8,0.97066
778.0,0.96871
778.2,0.97073
778.4,0.97112
778.6,0.96971
778.8,0.96888
779.0,0.96674
779.2,0.96411
779.4,0.9664
779.6,0.96787
779.8,0.96909
780.0,0.97036
780.2,0.97128
780.4,0.97006
780.6,0.96986
780.8,0.96868
781.0,0.96888
781.2,0.96811
781.4,0.96623
781.6,0.96441
781.8,0.96714
782.0,0.96665
782.2,0.96631
782.4,0.96787
782.6,0.97052
782.8,0.97347
783.0,0.97287
783.2,0.9703
783.4,0.96965
783.6,0.96929
783.8,0.97017
784.0,0.97085
784.2,0.97261
784.4,0.97008
784.6,0.97003
784.8,0.96595
785.0,0.96467
785.2,0.96771
785.4,0.96955
785.6,0.9686
785.8,0.96588
786.0,0.96885
786.2,0.97108
786.4,0.97245
786.6,0.97363
786.8,0.97059
787.0,0.96759
787.2,0.96551
787.4,0.96307
787.6,0.96413
787.8,0.96483
788.0,0.96615
788.2,0.96451
788.4,0.96761
788.6,0.96875
788.8,0.97088
789.0,0.97294
789.2,0.97
789.4,0.96621
789.6,0.96732
789.8,0.96751
790.0,0.96674
790.2,0.96844
790.4,0.96715
790.6,0.96801
790.8,0.97113
791.0,0.96868
791.2,0.96653
791.4,0.9654
791.6,0.96643
791.8,0.96802
792.0,0.96757
792.2,0.96989
792.4,0.96942
792.6,0.96837
792.8,0.96611
793.0,0.96432
793.2,0.96563
793.4,0.96918
793.6,0.96919
793.8,0.96692
794.0,0.96657
794.2,0.96812
794.4,0.96965
794.6,0.97062
794.8,0.96913
795.0,0.96911
795.2,0.97009
795.4,0.96826
795.6,0.96763
795.8,0.96969
796.0,0.97206
796.2,0.97143
796.4,0.97142
796.6,0.97144
796.8,0.97022
797.0,0.97145
797.2,0.97475
797.4,0.97598
797.6,0.97262
797.8,0.97464
798.0,0.97642
798.2,0.97629
798.4,0.9741
798.6,0.97315
798.8,0.97295
799.0,0.9735
799.2,0.9751
799.4,0.97492
799.6,0.97438
799.8,0.97262
800.0,0.97354
800.2,0.97359
800.4,0.97392
800.6,0.97591
800.8,0.97325
801.0,0.97297
801.2,0.97067
801.4,0.97318
801.6,0.97405
801.8,0.97367
802.0,0.97428
802.2,0.97537
802.4,0.97632
802.6,0.97705
802.8,0.97553
803.0,0.97496
803.2,0.97425
803.4,0.97231
803.6,0.97219
803.8,0.97628
804.0,0.97635
804.2,0.97424
804.4,0.97438
804.6,0.97721
804.8,0.97622
805.0,0.97207
805.2,0.96897
805.4,0.9701
805.6,0.97359
805.8,0.97625
806.0,0.97569
806.2,0.97414
806.4,0.97473
806.6,0.97588
806.8,0.97612
807.0,0.97713
807.2,0.97624
807.4,0.9708
807.6,0.96839
807.8,0.96916
808.0,0.96768
808.2,0.96966
808.4,0.96962
808.6,0.9675
808.8,0.96773
809.0,0.96717
809.2,0.96398
809.4,0.96575
809.6,0.96554
809.8,0.96389
810.0,0.96217
810.2,0.9649
810.4,0.9654
810.6,0.9641
810.8,0.96262
811.0,0.9648
811.2,0.96587
811.4,0.96418
811.6,0.96616
811.8,0.96422
812.0,0.96402
812.2,0.96677
812.4,0.96495
812.6,0.96365
812.8,0.96396
813.0,0.96443
813.2,0.96272
813.4,0.96563
813.6,0.96653
813.8,0.96728
814.0,0.96676
814.2,0.9648
814.4,0.96345
814.6,0.962
814.8,0.96495
815.0,0.96223
815.2,0.96106
815.4,0.96054
815.6,0.95727
815.8,0.95851
816.0,0.95912
816.2,0.95822
816.4,0.95869
816.6,0.95907
816.8,0.95948
817.0,0.96028
817.2,0.96015
817.4,0.96297
817.6,0.96214
817.8,0.96244
818.0,0.9607
818.2,0.95846
818.4,0.95493
818.6,0.95316
818.8,0.95324
819.0,0.95623
819.2,0.95651
819.4,0.95826
819.6,0.95986
819.8,0.95982
820.0,0.95842
820.2,0.96036
820.4,0.96219
820.6,0.9586
820.8,0.95765
821.0,0.95919
821.2,0.95776
821.4,0.95723
821.6,0.95942
821.8,0.95959
822.0,0.95942
822.2,0.96059
822.4,0.96006
822.6,0.96172
822.8,0.96371
823.0,0.96258
823.2,0.96171
823.4,0.96539
823.6,0.96401
823.8,0.96032
824.0,0.96077
824.2,0.96211
824.4,0.96181
824.6,0.96532
824.8,0.96701
825.0,0.96516
825.2,0.96643
825.4,0.96616
825.6,0.96692
825.8,0.96641
826.0,0.96726
826.2,0.96563
826.4,0.96388
826.6,0.96339
826.8,0.9678
827.0,0.96947
827.2,0.97132
827.4,0.97092
827.6,0.96905
827.8,0.9681
828.0,0.97013
828.2,0.9701
828.4,0.96963
828.6,0.97378
828.8,0.97348
829.0,0.97276
829.2,0.97222
829.4,0.97065
829.6,0.96936
829.8,0.96932
830.0,0.96646
830.2,0.9653
830.4,0.96477
830.6,0.96666
830.8,0.96609
831.0,0.9677
831.2,0.96819
831.4,0.96917
831.6,0.972
831.8,0.96984
832.0,0.96815
832.2,0.96853
832.4,0.97039
832.6,0.96944
832.8,0.96776
833.0,0.96857
833.2,0.96941
833.4,0.9707
833.6,0.96807
833.8,0.96788
834.0,0.967
834.2,0.96777
834.4,0.97085
834.6,0.97076
834.8,0.97
835.0,0.96938
835.2,0.96968
835.4,0.96904
835.6,0.96731
835.8,0.96628
836.0,0.96621
836.2,0.96427
836.4,0.96676
836.6,0.96766
836.8,0.96749
837.0,0.96637
837.2,0.96342
837.4,0.96306
837.6,0.96045
837.8,0.96094
838.0,0.96378
838.2,0.9646
838.4,0.96535
838.6,0.96393
838.8,0.96121
839.0,0.96216
839.2,0.96231
839.4,0.96572
839.6,0.96724
839.8,0.96549
840.0,0.96408
840.2,0.96418
840.4,0.96056
840.6,0.95988
840.8,0.96392
841.0,0.96596
841.2,0.96705
841.4,0.96677
841.6,0.9662
841.8,0.96721
842.0,0.96618
842.2,0.96467
842.4,0.95959
842.6,0.95808
842.8,0.96106
843.0,0.96275
843.2,0.963
843.4,0.95991
843.6,0.95955
843.8,0.9598
844.0,0.95966
844.2,0.96069
844.4,0.96295
844.6,0.96614
844.8,0.96875
845.0,0.97075
845.2,0.96957
845.4,0.96845
845.6,0.96762
845.8,0.96692
846.0,0.96483
846.2,0.96657
846.4,0.96873
846.6,0.96854
846.8,0.96787
847.0,0.96764
847.2,0.96456
847.4,0.96814
847.6,0.96736
847.8,0.96861
848.0,0.97029
848.2,0.96835
848.4,0.96326
848.6,0.96102
848.8,0.96051
849.0,0.96088
849.2,0.96403
849.4,0.96428
849.6,0.96576
849.8,0.96565
850.0,0.96526
850.2,0.96914
850.4,0.96786
850.6,0.96723
850.8,0.96771
851.0,0.96891
851.2,0.97018
851.4,0.96728
851.6,0.96586
851.8,0.96721
852.0,0.96496
852.2,0.96461
852.4,0.96486
852.6,0.96745
852.8,0.96788
853.0,0.96634
853.2,0.96275
853.4,0.96248
853.6,0.96304
853.8,0.96378
854.0,0.96322
854.2,0.96348
854.4,0.96825
854.6,0.96888
854.8,0.96652
855.0,0.96507
855.2,0.96301
855.4,0.96472
855.6,0.9652
855.8,0.96727
856.0,0.9743
856.2,0.97712
856.4,0.97579
856.6,0.97608
856.8,0.97747
857.0,0.97623
857.2,0.97107
857.4,0.96737
857.6,0.96645
857.8,0.96687
858.0,0.96788
858.2,0.96647
858.4,0.96646
858.6,0.9633
858.8,0.96541
859.0,0.96473
859.2,0.96682
859.4,0.96607
859.6,0.96441
859.8,0.96308
860.0,0.96171
860.2,0.96507
860.4,0.9684
860.6,0.97088
860.8,0.96915
861.0,0.96509
861.2,0.96206
861.4,0.965
861.6,0.96667
861.8,0.96703
862.0,0.96556
862.2,0.96223
862.4,0.96096
862.6,0.96418
862.8,0.96798
863.0,0.96721
863.2,0.96277
863.4,0.96283
863.6,0.96173
863.8,0.96047
864.0,0.95906
864.2,0.95999
864.4,0.95932
864.6,0.95815
864.8,0.95773
865.0,0.95743
865.2,0.95731
865.4,0.95715
865.6,0.95729
865.8,0.95762
866.0,0.959
866.2,0.95795
866.4,0.95913
866.6,0.96147
866.8,0.96186
867.0,0.96448
867.2,0.96449
867.4,0.96627
867.6,0.96188
867.8,0.95991
868.0,0.96017
868.2,0.96281
868.4,0.96311
868.6,0.96153
868.8,0.96282
869.0,0.96249
869.2,0.96162
869.4,0.9637
869.6,0.96428
869.8,0.96484
870.0,0.96623
870.2,0.96527
870.4,0.96274
870.6,0.96303
870.8,0.96232
871.0,0.96316
871.2,0.96245
871.4,0.96211
871.6,0.96496
871.8,0.96728
872.0,0.97157
872.2,0.97086
872.4,0.96716
872.6,0.96627
872.8,0.96934
873.0,0.97131
873.2,0.97194
873.4,0.97152
873.6,0.97392
873.8,0.97261
874.0,0.97438
874.2,0.98132
874.4,0.98245
874.6,0.97765
874.8,0.97527
875.0,0.9751
875.2,0.97875
875.4,0.97916
875.6,0.98077
875.8,0.98234
876.0,0.98184
876.2,0.98222
876.4,0.98008
876.6,0.97798
876.8,0.97936
877.0,0.97973
877.2,0.98087
877.4,0.98344
877.6,0.98314
877.8,0.98279
878.0,0.98221
878.2,0.98287
878.4,0.98176
878.6,0.98146
878.8,0.98012
879.0,0.97861
879.2,0.97754
879.4,0.97601
879.6,0.9765
879.8,0.97613
880.0,0.97622
880.2,0.97586
880.4,0.97458
880.6,0.97679
880.8,0.97928
881.0,0.97905
881.2,0.98072
881.4,0.98149
881.6,0.98142
881.8,0.98214
882.0,0.98023
882.2,0.98343
882.4,0.98743
882.6,0.98922
882.8,0.98907
883.0,0.98916
883.2,0.98696
883.4,0.98139
883.6,0.98159
883.8,0.98235
884.0,0.98506
884.2,0.98461
884.4,0.9845
884.6,0.98375
884.8,0.98414
885.0,0.98846
885.2,0.98914
885.4,0.98715
885.6,0.98362
885.8,0.98116
886.0,0.98079
886.2,0.98051
886.4,0.98148
886.6,0.97997
886.8,0.98206
887.0,0.98676
887.2,0.98926
887.4,0.98823
887.6,0.987
887.8,0.98856
888.0,0.98948
888.2,0.98607
888.4,0.98479
888.6,0.98509
888.8,0.98522
889.0,0.98399
889.2,0.98293
889.4,0.98197
889.6,0.98091
889.8,0.97922
890.0,0.97763
890.2,0.97683
890.4,0.97672
890.6,0.97812
890.8,0.97562
891.0,0.97462
891.2,0.97604
891.4,0.97401
891.6,0.97368
891.8,0.97625
892.0,0.97947
892.2,0.97774
892.4,0.97652
892.6,0.97429
892.8,0.97305
893.0,0.97246
893.2,0.97237
893.4,0.9712
893.6,0.97339
893.8,0.97546
894.0,0.97491
894.2,0.97584
894.4,0.9759
894.6,0.97237
894.8,0.97007
895.0,0.9688
895.2,0.96964
895.4,0.97061
895.6,0.97132
895.8,0.97158
896.0,0.9712
896.2,0.9742
896.4,0.97595
896.6,0.97629
896.8,0.97548
897.0,0.97424
897.2,0.97348
897.4,0.97433
897.6,0.97534
897.8,0.97992
898.0,0.98075
898.2,0.97846
898.4,0.9789
898.6,0.97557
898.8,0.97551
899.0,0.97217
899.2,0.97317
899.4,0.9753
899.6,0.97822
899.8,0.9787
900.0,0.97599
900.2,0.97747
900.4,0.98189
900.6,0.98566
900.8,0.98454
901.0,0.98422
901.2,0.98253
901.4,0.97907
901.6,0.97823
901.8,0.97675
902.0,0.97936
902.2,0.97864
902.4,0.97975
902.6,0.97944
902.8,0.976
903.0,0.9758
903.2,0.97502
903.4,0.97558
903.6,0.97482
903.8,0.975
904.0,0.97429
904.2,0.97479
904.4,0.97482
904.6,0.97847
904.8,0.98352
905.0,0.98518
905.2,0.98516
905.4,0.9853
905.6,0.98675
905.8,0.98731
906.0,0.98628
906.2,0.98561
906.4,0.98288
906.6,0.98292
906.8,0.98398
907.0,0.984
907.2,0.98391
907.4,0.987
907.6,0.98906
907.8,0.98673
908.0,0.98102
908.2,0.97846
908.4,0.97742
908.6,0.97999
908.8,0.98038
909.0,0.97945
909.2,0.97748
909.4,0.97877
909.6,0.98341
909.8,0.98489
910.0,0.98313
910.2,0.97952
910.4,0.97843
910.6,0.97747
910.8,0.97734
911.0,0.97741
911.2,0.97625
911.4,0.97223
911.6,0.97198
911.8,0.97222
912.0,0.97401
912.2,0.97459
912.4,0.97384
912.6,0.97449
912.8,0.97876
913.0,0.97894
913.2,0.97839
913.4,0.97921
913.6,0.98013
913.8,0.98032
914.0,0.98111
914.2,0.98007
914.4,0.97943
914.6,0.97739
914.8,0.97621
915.0,0.97581
915.2,0.97371
915.4,0.97183
915.6,0.97124
915.8,0.97018
916.0,0.97031
916.2,0.97194
916.4,0.97148
916.6,0.97177
916.8,0.97123
917.0,0.97131
917.2,0.96986
917.4,0.96824
917.6,0.97084
917.8,0.97079
918.0,0.9706
918.2,0.97175
918.4,0.96839
918.6,0.96561
918.8,0.96284
919.0,0.96348
919.2,0.96612
919.4,0.96636
919.6,0.96753
919.8,0.96785
920.0,0.96737
920.2,0.96824
920.4,0.96664
920.6,0.96661
920.8,0.96713
921.0,0.96633
921.2,0.96801
921.4,0.97098
921.6,0.96974
921.8,0.96453
922.0,0.95962
922.2,0.95745
922.4,0.95531
922.6,0.95554
922.8,0.95639
923.0,0.9576
923.2,0.95673
923.4,0.956
923.6,0.95988
923.8,0.95838
924.0,0.9567
924.2,0.95465
924.4,0.95247
924.6,0.95043
924.8,0.95192
925.0,0.95259
925.2,0.95346
925.4,0.95475
925.6,0.95676
925.8,0.95714
926.0,0.95908
926.2,0.95516
926.4,0.95445
926.6,0.95561
926.8,0.95886
927.0,0.95832
927.2,0.95357
927.4,0.95218
927.6,0.95271
927.8,0.9547
928.0,0.95358
928.2,0.95162
928.4,0.95325
928.6,0.95489
928.8,0.95521
929.0,0.95926
929.2,0.96118
929.4,0.96304
929.6,0.96484
929.8,0.96462
930.0,0.96586
930.2,0.96601
930.4,0.9644
930.6,0.96408
930.8,0.96506
931.0,0.96282
931.2,0.96453
931.4,0.96524
931.6,0.96468
931.8,0.96617
932.0,0.96782
932.2,0.96334
932.4,0.96081
932.6,0.96177
932.8,0.96055
933.0,0.95946
933.2,0.96203
933.4,0.96056
933.6,0.96135
933.8,0.96362
934.0,0.9661
934.2,0.96386
934.4,0.95912
934.6,0.96107
934.8,0.96335
935.0,0.96473
935.2,0.96469
935.4,0.96449
935.6,0.96531
935.8,0.96736
936.0,0.96624
936.2,0.96704
936.4,0.96597
936.6,0.96708
936.8,0.96693
937.0,0.96755
937.2,0.96662
937.4,0.96983
937.6,0.97071
937.8,0.97056
938.0,0.97423
938.2,0.97466
938.4,0.98011
938.6,0.97787
938.8,0.97626
939.0,0.97851
939.2,0.97677
939.4,0.97294
939.6,0.97179
939.8,0.97059
940.0,0.97084
940.2,0.97314
