Type: filter
Name: API-0039 Reflectance
wavelength,reflection
400,0.04
402,0.02
404,0.03
406,0.09
408,0.26
410,0.5
412,0.73
414,0.87
416,0.91
418,0.93
420,0.94
422,0.94
424,0.95
426,0.95
428,0.94
430,0.94
432,0.93
434,0.93
436,0.94
438,0.94
440,0.94
442,0.93
444,0.92
446,0.92
448,0.92
450,0.92
452,0.93
454,0.92
456,0.92
458,0.92
460,0.92
462,0.93
464,0.93
466,0.94
468,0.93
470,0.89
472,0.82
474,0.68
476,0.51
478,0.33
480,0.19
482,0.09
484,0.04
486,0.03
488,0.03
490,0.04
492,0.07
494,0.16
496,0.3
498,0.48
500,0.66
502,0.82
504,0.92
506,0.96
508,0.98
510,0.97
512,0.96
514,0.95
516,0.95
518,0.95
520,0.91
522,0.84
524,0.75
526,0.67
528,0.62
530,0.63
532,0.7
534,0.8
536,0.89
538,0.95
540,0.98
542,0.98
544,0.95
546,0.91
548,0.89
550,0.88
552,0.89
554,0.92
556,0.94
558,0.94
560,0.93
562,0.9
564,0.84
566,0.78
568,0.68
570,0.58
572,0.47
574,0.38
576,0.3
578,0.23
580,0.18
582,0.14
584,0.1
586,0.07
588,0.05
590,0.04
592,0.06
594,0.12
596,0.21
598,0.34
600,0.49
602,0.63
604,0.76
606,0.86
608,0.92
610,0.95
612,0.97
614,0.97
616,0.96
618,0.94
620,0.92
622,0.87
624,0.79
626,0.67
628,0.53
630,0.39
632,0.26
634,0.15
636,0.08
638,0.04
640,0.03
642,0.04
644,0.06
646,0.13
648,0.22
650,0.35
652,0.49
654,0.63
656,0.75
658,0.85
660,0.91
662,0.94
664,0.96
666,0.96
668,0.96
670,0.95
672,0.95
674,0.94
676,0.94
678,0.94
680,0.94
682,0.94
684,0.95
686,0.95
688,0.95
690,0.96
692,0.96
694,0.95
696,0.95
698,0.95
700,0.94
702,0.95
704,0.94
706,0.95
708,0.94
710,0.93
712,0.91
714,0.88
716,0.84
718,0.8
720,0.76
722,0.71
724,0.68
726,0.65
728,0.64
730,0.64
732,0.64
734,0.63
736,0.62
738,0.6
740,0.58
742,0.56
744,0.54
746,0.53
748,0.5
750,0.47
752,0.44
754,0.41
756,0.39
758,0.39
760,0.41
762,0.43
764,0.47
766,0.51
768,0.53
770,0.54
772,0.54
774,0.55
776,0.56
778,0.59
780,0.62
782,0.66
784,0.71
786,0.75
788,0.75
790,0.72
792,0.67
794,0.62
796,0.59
798,0.56
800,0.56
