Type: filter
Name: Chroma ET575lp
Wavelength (nm), Transmission (0 to 1)
300.00,9.5000001465451E-7
301.00,9.5000001465451E-7
302.00,9.5000001465451E-7
303.00,9.5000001465451E-7
304.00,9.5000001465451E-7
305.00,9.5000001465451E-7
306.00,9.5000001465451E-7
307.00,9.5000001465451E-7
308.00,9.5000001465451E-7
309.00,9.5000001465451E-7
310.00,9.5000001465451E-7
311.00,9.5000001465451E-7
312.00,9.5000001465451E-7
313.00,9.5000001465451E-7
314.00,1.2426700095602E-6
315.00,9.5000001465451E-7
316.00,9.5000001465451E-7
317.00,9.5000001465451E-7
318.00,9.5000001465451E-7
319.00,9.5000001465451E-7
320.00,1.1344000085955E-6
321.00,9.5000001465451E-7
322.00,9.5000001465451E-7
323.00,9.5000001465451E-7
324.00,9.5000001465451E-7
325.00,9.5000001465451E-7
326.00,9.5000001465451E-7
327.00,9.5000001465451E-7
328.00,9.5000001465451E-7
329.00,9.5000001465451E-7
330.00,9.5000001465451E-7
331.00,9.5000001465451E-7
332.00,9.5000001465451E-7
333.00,9.5000001465451E-7
334.00,9.5000001465451E-7
335.00,9.5000001465451E-7
336.00,9.5000001465451E-7
337.00,9.5000001465451E-7
338.00,9.5000001465451E-7
339.00,1.1438700084909E-6
340.00,9.5000001465451E-7
341.00,9.5000001465451E-7
342.00,9.5000001465451E-7
343.00,9.5000001465451E-7
344.00,1.1883699926329E-6
345.00,9.5000001465451E-7
346.00,9.5000001465451E-7
347.00,9.5000001465451E-7
348.00,9.5000001465451E-7
349.00,9.5000001465451E-7
350.00,9.5000001465451E-7
351.00,9.5000001465451E-7
352.00,9.5000001465451E-7
353.00,9.5000001465451E-7
354.00,9.5000001465451E-7
355.00,9.5000001465451E-7
356.00,9.5000001465451E-7
357.00,9.5000001465451E-7
358.00,9.5000001465451E-7
359.00,9.5000001465451E-7
360.00,9.5000001465451E-7
361.00,9.5000001465451E-7
362.00,9.5000001465451E-7
363.00,9.5000001465451E-7
364.00,9.5000001465451E-7
365.00,9.5000001465451E-7
366.00,9.5000001465451E-7
367.00,9.5000001465451E-7
368.00,9.5000001465451E-7
369.00,9.5000001465451E-7
370.00,9.5000001465451E-7
371.00,9.5000001465451E-7
372.00,9.5000001465451E-7
373.00,9.5000001465451E-7
374.00,9.5000001465451E-7
375.00,9.5000001465451E-7
376.00,9.5000001465451E-7
377.00,9.5000001465451E-7
378.00,9.5000001465451E-7
379.00,9.5000001465451E-7
380.00,9.5000001465451E-7
381.00,9.5000001465451E-7
382.00,9.5000001465451E-7
383.00,9.5000001465451E-7
384.00,9.5000001465451E-7
385.00,9.5000001465451E-7
386.00,9.5000001465451E-7
387.00,9.5000001465451E-7
388.00,9.5000001465451E-7
389.00,9.5000001465451E-7
390.00,9.5000001465451E-7
391.00,9.5000001465451E-7
392.00,9.5000001465451E-7
393.00,9.5000001465451E-7
394.00,9.5000001465451E-7
395.00,9.5000001465451E-7
396.00,9.5000001465451E-7
397.00,9.5000001465451E-7
398.00,9.5000001465451E-7
399.00,9.5000001465451E-7
400.00,9.5000001465451E-7
401.00,9.5000001465451E-7
402.00,9.5000001465451E-7
403.00,9.5000001465451E-7
404.00,9.5000001465451E-7
405.00,9.5000001465451E-7
406.00,9.5000001465451E-7
407.00,9.5000001465451E-7
408.00,9.5000001465451E-7
409.00,9.5000001465451E-7
410.00,9.5000001465451E-7
411.00,9.5000001465451E-7
412.00,9.5000001465451E-7
413.00,9.5000001465451E-7
414.00,9.5000001465451E-7
415.00,9.5000001465451E-7
416.00,9.5000001465451E-7
417.00,9.5000001465451E-7
418.00,9.5000001465451E-7
419.00,9.5000001465451E-7
420.00,9.5000001465451E-7
421.00,9.5000001465451E-7
422.00,9.5000001465451E-7
423.00,9.5000001465451E-7
424.00,9.5000001465451E-7
425.00,9.5000001465451E-7
426.00,9.5000001465451E-7
427.00,9.5000001465451E-7
428.00,9.5000001465451E-7
429.00,9.5000001465451E-7
430.00,9.5000001465451E-7
431.00,9.5000001465451E-7
432.00,9.5000001465451E-7
433.00,9.5000001465451E-7
434.00,9.5000001465451E-7
435.00,9.5000001465451E-7
436.00,9.5000001465451E-7
437.00,9.5000001465451E-7
438.00,9.5000001465451E-7
439.00,9.5000001465451E-7
440.00,9.5000001465451E-7
441.00,9.5000001465451E-7
442.00,9.5000001465451E-7
443.00,9.5000001465451E-7
444.00,9.5000001465451E-7
445.00,9.5000001465451E-7
446.00,9.5000001465451E-7
447.00,9.5000001465451E-7
448.00,9.5000001465451E-7
449.00,9.5000001465451E-7
450.00,9.5000001465451E-7
451.00,9.5000001465451E-7
452.00,9.5000001465451E-7
453.00,9.5000001465451E-7
454.00,9.5000001465451E-7
455.00,9.5000001465451E-7
456.00,9.5000001465451E-7
457.00,9.5000001465451E-7
458.00,9.5000001465451E-7
459.00,9.5000001465451E-7
460.00,9.5000001465451E-7
461.00,9.5000001465451E-7
462.00,9.5000001465451E-7
463.00,9.5000001465451E-7
464.00,9.5000001465451E-7
465.00,9.5000001465451E-7
466.00,9.5000001465451E-7
467.00,9.5000001465451E-7
468.00,9.5000001465451E-7
469.00,9.5000001465451E-7
470.00,9.5000001465451E-7
471.00,9.5000001465451E-7
472.00,9.5000001465451E-7
473.00,9.5000001465451E-7
474.00,9.5000001465451E-7
475.00,9.5000001465451E-7
476.00,9.5000001465451E-7
477.00,9.5000001465451E-7
478.00,9.5000001465451E-7
479.00,9.5000001465451E-7
480.00,9.5000001465451E-7
481.00,9.5000001465451E-7
482.00,9.5000001465451E-7
483.00,9.5000001465451E-7
484.00,9.5000001465451E-7
485.00,9.5000001465451E-7
486.00,9.5000001465451E-7
487.00,9.5000001465451E-7
488.00,9.5000001465451E-7
489.00,9.5000001465451E-7
490.00,9.5000001465451E-7
491.00,9.5000001465451E-7
492.00,9.5000001465451E-7
493.00,9.5000001465451E-7
494.00,9.5000001465451E-7
495.00,9.5000001465451E-7
496.00,9.5000001465451E-7
497.00,9.5000001465451E-7
498.00,9.5000001465451E-7
499.00,9.5000001465451E-7
500.00,9.5000001465451E-7
501.00,9.5000001465451E-7
502.00,9.5000001465451E-7
503.00,9.5000001465451E-7
504.00,9.5000001465451E-7
505.00,9.5000001465451E-7
506.00,9.5000001465451E-7
507.00,9.5000001465451E-7
508.00,9.5000001465451E-7
509.00,9.5000001465451E-7
510.00,9.5000001465451E-7
511.00,9.5000001465451E-7
512.00,9.5000001465451E-7
513.00,9.5000001465451E-7
514.00,9.5000001465451E-7
515.00,9.5000001465451E-7
516.00,9.5000001465451E-7
517.00,9.5000001465451E-7
518.00,9.5000001465451E-7
519.00,9.5000001465451E-7
520.00,9.5000001465451E-7
521.00,9.5000001465451E-7
522.00,9.5000001465451E-7
523.00,9.5000001465451E-7
524.00,9.5000001465451E-7
525.00,9.5000001465451E-7
526.00,9.5000001465451E-7
527.00,9.5000001465451E-7
528.00,9.5000001465451E-7
529.00,9.5000001465451E-7
530.00,9.5000001465451E-7
531.00,9.5000001465451E-7
532.00,9.5000001465451E-7
533.00,9.5000001465451E-7
534.00,9.5000001465451E-7
535.00,9.5000001465451E-7
536.00,9.5000001465451E-7
537.00,9.5000001465451E-7
538.00,9.5000001465451E-7
539.00,9.5000001465451E-7
540.00,9.5000001465451E-7
541.00,9.5000001465451E-7
542.00,9.5000001465451E-7
543.00,9.5000001465451E-7
544.00,9.5000001465451E-7
545.00,9.5000001465451E-7
546.00,9.5000001465451E-7
547.00,9.5000001465451E-7
548.00,9.5000001465451E-7
549.00,9.5000001465451E-7
550.00,9.5000001465451E-7
551.00,9.5000001465451E-7
552.00,9.5000001465451E-7
553.00,9.5000001465451E-7
554.00,9.5000001465451E-7
555.00,9.5000001465451E-7
556.00,9.5000001465451E-7
557.00,9.5000001465451E-7
558.00,9.5000001465451E-7
559.00,9.5000001465451E-7
560.00,9.5000001465451E-7
561.00,9.5000001465451E-7
562.00,9.5000001465451E-7
563.00,9.5000001465451E-7
564.00,9.5000001465451E-7
565.00,9.5000001465451E-7
566.00,9.5000001465451E-7
567.00,9.5000001465451E-7
568.00,1.708979993964E-6
569.00,1.0364000445406E-5
570.00,7.8903598478064E-5
571.00,0.00077966297976673
572.00,0.011962399818003
573.00,0.17984299361706
574.00,0.75931000709534
575.00,0.97285199165344
576.00,0.98284697532654
577.00,0.98695397377014
578.00,0.984001994133
579.00,0.9802640080452
580.00,0.97963201999664
581.00,0.98283302783966
582.00,0.98473697900772
583.00,0.9833989739418
584.00,0.98435002565384
585.00,0.98364198207855
586.00,0.98442798852921
587.00,0.9857320189476
588.00,0.98470199108124
589.00,0.9823169708252
590.00,0.98311799764633
591.00,0.98432999849319
592.00,0.9857320189476
593.00,0.98870897293091
594.00,0.99075299501419
595.00,0.98955500125885
596.00,0.98893797397614
597.00,0.98839497566223
598.00,0.98616200685501
599.00,0.98582500219345
600.00,0.98996102809906
601.00,0.9909970164299
602.00,0.99160599708557
603.00,0.99098598957062
604.00,0.99264001846313
605.00,0.9881129860878
606.00,0.98795199394226
607.00,0.98628598451614
608.00,0.98751902580261
609.00,0.98816001415253
610.00,0.98727697134018
611.00,0.98664999008179
612.00,0.98715001344681
613.00,0.98844999074936
614.00,0.98590499162674
615.00,0.98810297250748
616.00,0.98724699020386
617.00,0.98621302843094
618.00,0.98634999990463
619.00,0.98560899496078
620.00,0.98430597782135
621.00,0.98633998632431
622.00,0.98606199026108
623.00,0.98703199625015
624.00,0.98869401216507
625.00,0.98952698707581
626.00,0.99054199457169
627.00,0.98946499824524
628.00,0.98798602819443
629.00,0.98682200908661
630.00,0.98803400993347
631.00,0.98767000436783
632.00,0.98864197731018
633.00,0.98827201128006
634.00,0.99119901657104
635.00,0.99088799953461
636.00,0.99268597364426
637.00,0.9923580288887
638.00,0.99238401651382
639.00,0.99072098731995
640.00,0.98989397287369
641.00,0.98970198631287
642.00,0.99084800481796
643.00,0.99229401350021
644.00,0.99089902639389
645.00,0.99291801452637
646.00,0.99219799041748
647.00,0.9926649928093
648.00,0.99194401502609
649.00,0.99121201038361
650.00,0.991838991642
651.00,0.99192899465561
652.00,0.9906809926033
653.00,0.99202400445938
654.00,0.98968201875687
655.00,0.99224299192429
656.00,0.99143701791763
657.00,0.98938900232315
658.00,0.98931401968002
659.00,0.98893201351166
660.00,0.98837500810623
661.00,0.98948901891708
662.00,0.98819202184677
663.00,0.98663902282715
664.00,0.98737698793411
665.00,0.98792201280594
666.00,0.98755198717117
667.00,0.9859020113945
668.00,0.98575001955032
669.00,0.98562300205231
670.00,0.98493099212646
671.00,0.98348200321198
672.00,0.98399502038956
673.00,0.98526501655579
674.00,0.98547101020813
675.00,0.98405599594116
676.00,0.98533797264099
677.00,0.98439198732376
678.00,0.98491901159286
679.00,0.98345202207565
680.00,0.98442602157593
681.00,0.98382097482681
682.00,0.98350298404694
683.00,0.98438102006912
684.00,0.98418599367142
685.00,0.98624801635742
686.00,0.9852460026741
687.00,0.9872140288353
688.00,0.98564499616623
689.00,0.98635601997375
690.00,0.98755699396133
691.00,0.98788201808929
692.00,0.9860560297966
693.00,0.98428601026535
694.00,0.98649102449417
695.00,0.98550999164581
696.00,0.98474299907684
697.00,0.98660802841187
698.00,0.98572701215744
699.00,0.98672097921371
700.00,0.98769998550415
701.00,0.98867201805115
702.00,0.98995900154114
703.00,0.98628902435303
704.00,0.98422402143478
705.00,0.98361599445343
706.00,0.98182499408722
707.00,0.98179399967194
708.00,0.97970199584961
709.00,0.97912299633026
710.00,0.97729498147964
711.00,0.97568702697754
712.00,0.97543501853943
713.00,0.9760479927063
714.00,0.97736799716949
715.00,0.97748601436615
716.00,0.97964197397232
717.00,0.97839397192001
718.00,0.97803002595901
719.00,0.97456502914429
720.00,0.97282701730728
721.00,0.96928298473358
722.00,0.96941500902176
723.00,0.9672600030899
724.00,0.96598201990128
725.00,0.96347898244858
726.00,0.96381902694702
727.00,0.96719199419022
728.00,0.96521300077438
729.00,0.96619600057602
730.00,0.96912902593613
731.00,0.97427499294281
732.00,0.97526597976685
733.00,0.97503298521042
734.00,0.97875100374222
735.00,0.97618901729584
736.00,0.9764329791069
737.00,0.97555100917816
738.00,0.97328400611877
739.00,0.97397601604462
740.00,0.97166699171066
741.00,0.97136700153351
742.00,0.97097599506378
743.00,0.9726380109787
744.00,0.97080600261688
745.00,0.97499400377274
746.00,0.97970402240753
747.00,0.98073697090149
748.00,0.98422902822495
749.00,0.98471802473068
750.00,0.98553401231766
751.00,0.98665100336075
752.00,0.98655301332474
753.00,0.98632401227951
754.00,0.9835079908371
755.00,0.98138201236725
756.00,0.97783201932907
757.00,0.97490799427032
758.00,0.97661900520325
759.00,0.97244900465012
760.00,0.97443002462387
761.00,0.96999800205231
762.00,0.97356301546097
763.00,0.97451800107956
764.00,0.97144198417664
765.00,0.97513097524643
766.00,0.9755539894104
767.00,0.97675001621246
768.00,0.97766500711441
769.00,0.97308397293091
770.00,0.97269201278687
771.00,0.96986597776413
772.00,0.97104299068451
773.00,0.9658460021019
774.00,0.96418297290802
775.00,0.95950102806091
776.00,0.95533800125122
777.00,0.95584797859192
778.00,0.95747697353363
779.00,0.95604699850082
780.00,0.95989602804184
781.00,0.95887899398804
