Type: Filter
Name: DV-EM-YFP.csv
wavelength,transmision
486.528854,0.041572
486.644171,0.035748
486.759487,0.027525
486.874803,0.037820
486.990120,0.033375
487.105436,0.031402
487.220753,0.030812
487.336069,0.030613
487.451386,0.029002
487.566702,0.029408
487.682018,0.034491
487.797335,0.032889
487.912651,0.034113
488.027968,0.032351
488.143284,0.030299
488.258600,0.036943
488.373917,0.040165
488.489233,0.040751
488.604550,0.042604
488.719866,0.051041
488.835183,0.056399
488.950499,0.055526
489.065815,0.053859
489.181132,0.059633
489.296448,0.053735
489.411765,0.055297
489.527081,0.053799
489.642398,0.058745
489.757714,0.056621
489.873030,0.051742
489.988347,0.050486
490.103663,0.058465
490.218980,0.054943
490.334296,0.054531
490.449613,0.055862
490.564929,0.060687
490.680245,0.058373
490.795562,0.048669
490.910878,0.052295
491.026195,0.051870
491.141511,0.051602
491.256828,0.048196
491.372144,0.046341
491.487460,0.050688
491.602777,0.046394
491.718093,0.042276
491.833410,0.042190
491.948726,0.045224
492.064043,0.045406
492.179359,0.036018
492.294675,0.031952
492.409992,0.031612
492.525308,0.031588
492.640625,0.037929
492.755941,0.037652
492.871257,0.042579
492.986574,0.038670
493.101890,0.039775
493.217207,0.041283
493.332523,0.042495
493.447840,0.042216
493.563156,0.039453
493.678472,0.043811
493.793789,0.043768
493.909105,0.041431
494.024422,0.046959
494.139738,0.045870
494.255055,0.043040
494.370371,0.041792
494.485687,0.040176
494.601004,0.039208
494.716320,0.031211
494.831637,0.031121
494.946953,0.028817
495.062270,0.025337
495.177586,0.025703
495.292902,0.024709
495.408219,0.021346
495.523535,0.018241
495.638852,0.009726
495.754168,0.011314
495.869485,0.012200
495.984801,0.011018
496.100117,0.009664
496.215434,0.007084
496.330750,0.004551
496.446067,0.002535
496.561383,0.001066
496.676699,0.002383
496.792016,0.002791
496.907332,0.000548
497.022649,0.002311
497.137965,0.007860
497.253282,0.007008
497.368598,0.005286
497.483914,0.013673
497.599231,0.017057
497.714547,0.017582
497.829864,0.019313
497.945180,0.017255
498.060497,0.024073
498.175813,0.029245
498.291129,0.029469
498.406446,0.035344
498.521762,0.035778
498.637079,0.037989
498.752395,0.038872
498.867712,0.042604
498.983028,0.043589
499.098344,0.046263
499.213661,0.048828
499.328977,0.052398
499.444294,0.051184
499.559610,0.048355
499.674927,0.047486
499.790243,0.048095
499.905559,0.045645
500.020876,0.043277
500.136192,0.042518
500.251509,0.044171
500.366825,0.040652
500.482141,0.036661
500.597458,0.039315
500.712774,0.036709
500.828091,0.033872
500.943407,0.032800
501.058724,0.032968
501.174040,0.030711
501.289356,0.026285
501.404673,0.022634
501.519989,0.029470
501.635306,0.029107
501.750622,0.025408
501.865939,0.024329
501.981255,0.025954
502.096571,0.026970
502.211888,0.025158
502.327204,0.022860
502.442521,0.022349
502.557837,0.021493
502.673154,0.019101
502.788470,0.019273
502.903786,0.020880
503.019103,0.019702
503.134419,0.019728
503.249736,0.021056
503.365052,0.020439
503.480369,0.020005
503.595685,0.018536
503.711001,0.016374
503.826318,0.021278
503.941634,0.018788
504.056951,0.015253
504.172267,0.018122
504.287583,0.018543
504.402900,0.015527
504.518216,0.013217
504.633533,0.009501
504.748849,0.011555
504.864166,0.008869
504.979482,0.006907
505.094798,0.007366
505.210115,0.007368
505.325431,0.007771
505.440748,0.008310
505.556064,0.008960
505.671381,0.007062
505.786697,0.005938
505.902013,0.004826
506.017330,0.004320
506.132646,0.005636
506.247963,0.005982
506.363279,0.006393
506.478596,0.008772
506.593912,0.011495
506.709228,0.012862
506.824545,0.012634
506.939861,0.013477
507.055178,0.015119
507.170494,0.016206
507.285811,0.015932
507.401127,0.016090
507.516443,0.017248
507.631760,0.016952
507.747076,0.016724
507.862393,0.018344
507.977709,0.019457
508.093026,0.020730
508.208342,0.020818
508.323658,0.022132
508.438975,0.022739
508.554291,0.022590
508.669608,0.023980
508.784924,0.024387
508.900240,0.025661
509.015557,0.024067
509.130873,0.021328
509.246190,0.019677
509.361506,0.019259
509.476823,0.019741
509.592139,0.018893
509.707455,0.017641
509.822772,0.019066
509.938088,0.018272
510.053405,0.016358
510.168721,0.014384
510.284038,0.015655
510.399354,0.013806
510.514670,0.014321
510.629987,0.012979
510.745303,0.014134
510.860620,0.015188
510.975936,0.014503
511.091253,0.014640
511.206569,0.013655
511.321885,0.013045
511.437202,0.011923
511.552518,0.013333
511.667835,0.013330
511.783151,0.012474
511.898468,0.013758
512.013784,0.013492
512.129100,0.017046
512.244417,0.017026
512.359733,0.016813
512.475050,0.014567
512.590366,0.016949
512.705682,0.015309
512.820999,0.014980
512.936315,0.014266
513.051632,0.016858
513.166948,0.018281
513.282265,0.018201
513.397581,0.019153
513.512897,0.020886
513.628214,0.021163
513.743530,0.020124
513.858847,0.021343
513.974163,0.022700
514.089480,0.022512
514.204796,0.020397
514.320112,0.018822
514.435429,0.020603
514.550745,0.018938
514.666062,0.018209
514.781378,0.015695
514.896695,0.018407
515.012011,0.018834
515.127327,0.017800
515.242644,0.017478
515.357960,0.018154
515.473277,0.019003
515.588593,0.018040
515.703910,0.018295
515.819226,0.019376
515.934542,0.018619
516.049859,0.018443
516.165175,0.017919
516.280492,0.017966
516.395808,0.018625
516.511124,0.019006
516.626441,0.018519
516.741757,0.019483
516.857074,0.018846
516.972390,0.016575
517.087707,0.017240
517.203023,0.017634
517.318339,0.018226
517.433656,0.017223
517.548972,0.016887
517.664289,0.020079
517.779605,0.019589
517.894922,0.016986
518.010238,0.016333
518.125554,0.017943
518.240871,0.017587
518.356187,0.020014
518.471504,0.018999
518.586820,0.021767
518.702137,0.021664
518.817453,0.022484
518.932769,0.022610
519.048086,0.023947
519.163402,0.022755
519.278719,0.022865
519.394035,0.024472
519.509352,0.025892
519.624668,0.025236
519.739984,0.023625
519.855301,0.022771
519.970617,0.022500
520.085934,0.021232
520.201250,0.022548
520.316566,0.022132
520.431883,0.024500
520.547199,0.022083
520.662516,0.022254
520.777832,0.021108
520.893149,0.021252
521.008465,0.021918
521.123781,0.022809
521.239098,0.023994
521.354414,0.024079
521.469731,0.025020
521.585047,0.023765
521.700364,0.023842
521.815680,0.025221
521.930996,0.024265
522.046313,0.024852
522.161629,0.025010
522.276946,0.024644
522.392262,0.023444
522.507579,0.023858
522.622895,0.022027
522.738211,0.022290
522.853528,0.023139
522.968844,0.023185
523.084161,0.023180
523.199477,0.021478
523.314794,0.019211
523.430110,0.019686
523.545426,0.017934
523.660743,0.016715
523.776059,0.017215
523.891376,0.018719
524.006692,0.018865
524.122008,0.018328
524.237325,0.016663
524.352641,0.018267
524.467958,0.018074
524.583274,0.019791
524.698591,0.019309
524.813907,0.019643
524.929223,0.018904
525.044540,0.020427
525.159856,0.019186
525.275173,0.018904
525.390489,0.018450
525.505806,0.018909
525.621122,0.018629
525.736438,0.018927
525.851755,0.019024
525.967071,0.018400
526.082388,0.017795
526.197704,0.016920
526.313021,0.016275
526.428337,0.016523
526.543653,0.017059
526.658970,0.017750
526.774286,0.017639
526.889603,0.017561
527.004919,0.017822
527.120236,0.017367
527.235552,0.017960
527.350868,0.017622
527.466185,0.018067
527.581501,0.018360
527.696818,0.017744
527.812134,0.018141
527.927451,0.016373
528.042767,0.014846
528.158083,0.015203
528.273400,0.014276
528.388716,0.013570
528.504033,0.012683
528.619349,0.013231
528.734665,0.011882
528.849982,0.011249
528.965298,0.010875
529.080615,0.011304
529.195931,0.012217
529.311248,0.011105
529.426564,0.010941
529.541880,0.011882
529.657197,0.013169
529.772513,0.011878
529.887830,0.012329
530.003146,0.012994
530.118463,0.013362
530.233779,0.012410
530.349095,0.012888
530.464412,0.013679
530.579728,0.014632
530.695045,0.013611
530.810361,0.012573
530.925678,0.013653
531.040994,0.014687
531.156310,0.013591
531.271627,0.014115
531.386943,0.014193
531.502260,0.013558
531.617576,0.012361
531.732893,0.011586
531.848209,0.011889
531.963525,0.012466
532.078842,0.012261
532.194158,0.010552
532.309475,0.012631
532.424791,0.012309
532.540107,0.011320
532.655424,0.012251
532.770740,0.013589
532.886057,0.013682
