Type: filter
Name: Semrock FF01-676/37 Optical Filter
Wavelength (nm), Transmission (0 to 1)
318.0,4.3867e-07
318.2,3.8413e-07
318.4,3.3637e-07
318.6,2.9455e-07
318.8,2.5793e-07
319.0,2.2586e-07
319.2,1.9778e-07
319.4,1.7319e-07
319.6,1.5165e-07
319.8,1.328e-07
320.0,1.1629e-07
320.2,1.0183e-07
320.4,8.9169e-08
320.6,8.488e-08
320.8,8.4597e-08
321.0,8.4315e-08
321.2,8.4034e-08
321.4,8.3753e-08
321.6,8.3474e-08
321.8,8.3196e-08
322.0,8.2918e-08
322.2,8.2641e-08
322.4,8.2366e-08
322.6,8.2091e-08
322.8,8.1817e-08
323.0,8.1544e-08
323.2,8.1272e-08
323.4,8.1001e-08
323.6,8.0731e-08
323.8,8.0462e-08
324.0,8.0193e-08
324.2,7.9912e-08
324.4,7.8938e-08
324.6,7.7976e-08
324.8,7.7026e-08
325.0,7.6088e-08
325.2,7.516e-08
325.4,7.4245e-08
325.6,7.334e-08
325.8,7.2446e-08
326.0,7.1564e-08
326.2,7.0692e-08
326.4,6.983e-08
326.6,6.898e-08
326.8,6.8139e-08
327.0,6.7309e-08
327.2,6.6489e-08
327.4,6.5679e-08
327.6,6.4878e-08
327.8,6.4088e-08
328.0,6.3334e-08
328.2,6.2629e-08
328.4,6.1932e-08
328.6,6.1243e-08
328.8,6.0561e-08
329.0,5.9887e-08
329.2,5.922e-08
329.4,5.8561e-08
329.6,5.7909e-08
329.8,5.7264e-08
330.0,5.6627e-08
330.2,5.5997e-08
330.4,5.5373e-08
330.6,5.4757e-08
330.8,5.4147e-08
331.0,5.3545e-08
331.2,5.2948e-08
331.4,5.2359e-08
331.6,5.1776e-08
331.8,5.2994e-08
332.0,5.4739e-08
332.2,5.6541e-08
332.4,5.8403e-08
332.6,6.0325e-08
332.8,6.2312e-08
333.0,6.4363e-08
333.2,6.6483e-08
333.4,6.8672e-08
333.6,7.0933e-08
333.8,7.3268e-08
334.0,7.5681e-08
334.2,7.8173e-08
334.4,8.0746e-08
334.6,8.3405e-08
334.8,8.6151e-08
335.0,8.8988e-08
335.2,6.8492e-08
335.4,5.2717e-08
335.6,4.4799e-08
335.8,4.8809e-08
336.0,5.3177e-08
336.2,5.7935e-08
336.4,6.312e-08
336.6,6.8769e-08
336.8,7.4923e-08
337.0,8.1628e-08
337.2,8.8933e-08
337.4,9.6891e-08
337.6,1.0556e-07
337.8,1.1501e-07
338.0,1.253e-07
338.2,1.3651e-07
338.4,1.4873e-07
338.6,1.6204e-07
338.8,1.7654e-07
339.0,1.9234e-07
339.2,2.0955e-07
339.4,2.2311e-07
339.6,2.3474e-07
339.8,2.4698e-07
340.0,2.5985e-07
340.2,2.7339e-07
340.4,2.8765e-07
340.6,3.0264e-07
340.8,3.1841e-07
341.0,3.3501e-07
341.2,3.5247e-07
341.4,3.7085e-07
341.6,3.9018e-07
341.8,4.1052e-07
342.0,4.3192e-07
342.2,4.5443e-07
342.4,4.7812e-07
342.6,5.0304e-07
342.8,5.2926e-07
343.0,5.5219e-07
343.2,4.7078e-07
343.4,4.0137e-07
343.6,3.422e-07
343.8,2.9175e-07
344.0,2.4874e-07
344.2,2.1206e-07
344.4,1.808e-07
344.6,1.5414e-07
344.8,1.3142e-07
345.0,1.1204e-07
345.2,9.5526e-08
345.4,8.1442e-08
345.6,6.9435e-08
345.8,5.9198e-08
346.0,5.0471e-08
346.2,4.303e-08
346.4,3.6686e-08
346.6,3.1278e-08
346.8,2.8567e-08
347.0,2.8586e-08
347.2,2.8604e-08
347.4,2.8622e-08
347.6,2.8641e-08
347.8,2.8659e-08
348.0,2.8678e-08
348.2,2.8696e-08
348.4,2.8714e-08
348.6,2.8733e-08
348.8,2.8751e-08
349.0,2.877e-08
349.2,2.8788e-08
349.4,2.8807e-08
349.6,2.8825e-08
349.8,2.8844e-08
350.0,2.8862e-08
350.2,2.8881e-08
350.4,2.8899e-08
350.6,3.1288e-08
350.8,3.4446e-08
351.0,3.7922e-08
351.2,4.1749e-08
351.4,4.5963e-08
351.6,5.0601e-08
351.8,5.5708e-08
352.0,6.1329e-08
352.2,6.7519e-08
352.4,7.4332e-08
352.6,8.1834e-08
352.8,9.0092e-08
353.0,9.9184e-08
353.2,1.0919e-07
353.4,1.2021e-07
353.6,1.3235e-07
353.8,1.457e-07
354.0,1.604e-07
354.2,1.6893e-07
354.4,1.5335e-07
354.6,1.392e-07
354.8,1.2636e-07
355.0,1.1471e-07
355.2,1.0413e-07
355.4,9.4522e-08
355.6,8.5804e-08
355.8,7.7889e-08
356.0,7.0705e-08
356.2,6.4183e-08
356.4,5.8263e-08
356.6,5.2889e-08
356.8,4.8011e-08
357.0,4.3582e-08
357.2,3.9562e-08
357.4,3.5913e-08
357.6,3.2601e-08
357.8,2.9594e-08
358.0,3.0174e-08
358.2,3.2798e-08
358.4,3.565e-08
358.6,3.875e-08
358.8,4.2119e-08
359.0,4.5782e-08
359.2,4.9762e-08
359.4,5.409e-08
359.6,5.8793e-08
359.8,6.3905e-08
360.0,6.9462e-08
360.2,7.5502e-08
360.4,8.2067e-08
360.6,8.9203e-08
360.8,9.696e-08
361.0,1.0539e-07
361.2,1.1456e-07
361.4,1.2452e-07
361.6,1.3462e-07
361.8,1.3468e-07
362.0,1.3473e-07
362.2,1.3479e-07
362.4,1.3485e-07
362.6,1.3491e-07
362.8,1.3497e-07
363.0,1.3503e-07
363.2,1.3509e-07
363.4,1.3515e-07
363.6,1.3521e-07
363.8,1.3527e-07
364.0,1.3533e-07
364.2,1.3539e-07
364.4,1.3545e-07
364.6,1.355e-07
364.8,1.3556e-07
365.0,1.3562e-07
365.2,1.1484e-07
365.4,9.724e-08
365.6,8.2337e-08
365.8,6.9719e-08
366.0,5.9035e-08
366.2,4.9987e-08
366.4,4.2327e-08
366.6,3.584e-08
366.8,3.0348e-08
367.0,2.7198e-08
367.2,2.7148e-08
367.4,2.7099e-08
367.6,2.705e-08
367.8,2.7001e-08
368.0,2.6952e-08
368.2,2.6903e-08
368.4,2.6854e-08
368.6,2.6806e-08
368.8,2.6757e-08
369.0,2.6709e-08
369.2,2.666e-08
369.4,2.6612e-08
369.6,2.6564e-08
369.8,2.6515e-08
370.0,2.6467e-08
370.2,2.6419e-08
370.4,2.6371e-08
370.6,2.6324e-08
370.8,2.9278e-08
371.0,3.3894e-08
371.2,3.9237e-08
371.4,4.5423e-08
371.6,5.2584e-08
371.8,6.0874e-08
372.0,7.0471e-08
372.2,8.1581e-08
372.4,9.4443e-08
372.6,1.0933e-07
372.8,1.2657e-07
373.0,1.4652e-07
373.2,1.6962e-07
373.4,1.9636e-07
373.6,2.2732e-07
373.8,2.6316e-07
374.0,3.0465e-07
374.2,3.5267e-07
374.4,3.9335e-07
374.6,3.3801e-07
374.8,2.9046e-07
375.0,2.496e-07
375.2,2.1449e-07
375.4,1.8432e-07
375.6,1.5839e-07
375.8,1.3611e-07
376.0,1.1696e-07
376.2,1.0051e-07
376.4,8.6371e-08
376.6,7.4221e-08
376.8,6.378e-08
377.0,5.4808e-08
377.2,4.7098e-08
377.4,4.0473e-08
377.6,3.4779e-08
377.8,2.9887e-08
378.0,2.5683e-08
378.2,2.3865e-08
378.4,2.377e-08
378.6,2.3674e-08
378.8,2.3579e-08
379.0,2.3485e-08
379.2,2.339e-08
379.4,2.3296e-08
379.6,2.3203e-08
379.8,2.311e-08
380.0,2.3017e-08
380.2,2.2924e-08
380.4,2.2832e-08
380.6,2.2741e-08
380.8,2.2649e-08
381.0,2.2558e-08
381.2,2.2468e-08
381.4,2.2378e-08
381.6,2.2288e-08
381.8,2.2198e-08
382.0,2.2097e-08
382.2,2.1995e-08
382.4,2.1894e-08
382.6,2.1793e-08
382.8,2.1693e-08
383.0,2.1593e-08
383.2,2.1493e-08
383.4,2.1394e-08
383.6,2.1296e-08
383.8,2.1198e-08
384.0,2.11e-08
384.2,2.1003e-08
384.4,2.0906e-08
384.6,2.081e-08
384.8,2.0714e-08
385.0,2.0618e-08
385.2,2.0523e-08
385.4,2.0429e-08
385.6,2.1102e-08
385.8,2.3313e-08
386.0,2.5757e-08
386.2,2.8456e-08
386.4,3.1439e-08
386.6,3.4734e-08
386.8,3.8374e-08
387.0,4.2396e-08
387.2,4.684e-08
387.4,5.1749e-08
387.6,5.7173e-08
387.8,6.3166e-08
388.0,6.9786e-08
388.2,7.71e-08
388.4,8.5181e-08
388.6,9.4109e-08
388.8,1.0397e-07
389.0,1.1487e-07
389.2,1.2691e-07
389.4,1.2973e-07
389.6,1.2974e-07
389.8,1.2975e-07
390.0,1.2975e-07
390.2,1.2976e-07
390.4,1.2977e-07
390.6,1.2978e-07
390.8,1.2979e-07
391.0,1.2979e-07
391.2,1.298e-07
391.4,1.2981e-07
391.6,1.2982e-07
391.8,1.2983e-07
392.0,1.2983e-07
392.2,1.3574e-07
392.4,1.4191e-07
392.6,1.4837e-07
392.8,1.5512e-07
393.0,1.7693e-07
393.2,2.1799e-07
393.4,2.6859e-07
393.6,3.3094e-07
393.8,4.0775e-07
394.0,5.024e-07
394.2,6.1901e-07
394.4,7.627e-07
394.6,9.3973e-07
394.8,1.1579e-06
395.0,1.4266e-06
395.2,1.7578e-06
395.4,2.1658e-06
395.6,2.6685e-06
395.8,3.2879e-06
396.0,4.051e-06
396.2,4.9913e-06
396.4,6.1499e-06
396.6,7.5774e-06
396.8,5.4211e-06
397.0,3.7916e-06
397.2,2.6519e-06
397.4,1.8548e-06
397.6,1.2972e-06
397.8,9.0731e-07
398.0,6.3458e-07
398.2,4.4383e-07
398.4,3.1042e-07
398.6,2.1711e-07
398.8,1.5185e-07
399.0,1.0621e-07
399.2,7.4282e-08
399.4,5.1954e-08
399.6,3.6337e-08
399.8,2.5415e-08
400.0,1.7775e-08
400.2,1.2432e-08
400.4,1.1496e-08
400.6,1.6159e-08
400.8,2.2713e-08
401.0,3.1926e-08
401.2,4.4875e-08
401.4,6.3078e-08
401.6,8.8664e-08
401.8,1.2463e-07
402.0,1.7518e-07
402.2,2.4623e-07
402.4,3.4611e-07
402.6,4.865e-07
402.8,6.8384e-07
403.0,9.6122e-07
403.2,1.3511e-06
403.4,1.8991e-06
403.6,2.6695e-06
403.8,3.7523e-06
404.0,5.2743e-06
404.2,4.6296e-06
404.4,3.7275e-06
404.6,3.0012e-06
404.8,2.4164e-06
405.0,1.9456e-06
405.2,1.5665e-06
405.4,1.2612e-06
405.6,1.0155e-06
405.8,8.1761e-07
406.0,6.5829e-07
406.2,5.3002e-07
406.4,4.2675e-07
406.6,3.4359e-07
406.8,2.7664e-07
407.0,2.2274e-07
407.2,1.7934e-07
407.4,1.4439e-07
407.6,1.1626e-07
407.8,1.0e-07
408.0,1.0e-07
408.2,1.0e-07
408.4,1.0e-07
408.6,1.0e-07
408.8,1.0e-07
409.0,1.0e-07
409.2,1.0e-07
409.4,1.0e-07
409.6,1.0e-07
409.8,1.0e-07
410.0,1.0e-07
410.2,1.0e-07
410.4,1.0e-07
410.6,1.0e-07
410.8,1.0e-07
411.0,1.0e-07
411.2,1.0e-07
411.4,1.0e-07
411.6,9.4155e-08
411.8,8.7114e-08
412.0,8.0601e-08
412.2,7.4574e-08
412.4,6.8998e-08
412.6,6.3838e-08
412.8,5.9065e-08
413.0,5.4649e-08
413.2,5.0562e-08
413.4,4.6782e-08
413.6,4.3284e-08
413.8,4.0047e-08
414.0,3.7053e-08
414.2,3.4282e-08
414.4,3.1719e-08
414.6,2.9347e-08
414.8,2.7153e-08
415.0,2.5122e-08
415.2,2.4184e-08
415.4,2.6139e-08
415.6,2.8253e-08
415.8,3.0538e-08
416.0,3.3007e-08
416.2,3.5676e-08
416.4,3.8561e-08
416.6,4.1679e-08
416.8,4.5049e-08
417.0,4.8692e-08
417.2,5.2629e-08
