Dye: lysotracker red
wavelength,emission
560.00,0.035319898277521
561.00,0.041108898818493
562.00,0.047787301242352
563.00,0.055641900748014
564.00,0.065324701368809
565.00,0.077624499797821
566.00,0.092169299721718
567.00,0.10935799777508
568.00,0.12998700141907
569.00,0.15568900108337
570.00,0.18422800302505
571.00,0.21946500241756
572.00,0.26085099577904
573.00,0.30519101023674
574.00,0.3526200056076
575.00,0.40503799915314
576.00,0.46087500452995
577.00,0.52037501335144
578.00,0.57978099584579
579.00,0.63928097486496
580.00,0.70184397697449
581.00,0.75903302431107
582.00,0.81194698810577
583.00,0.85983002185822
584.00,0.90490698814392
585.00,0.93914997577667
586.00,0.96465301513672
587.00,0.98173600435257
588.00,0.99695301055908
589.00,1
590.00,0.99151301383972
591.00,0.98232597112656
592.00,0.96559000015259
593.00,0.93964099884033
594.00,0.91536599397659
595.00,0.88761502504349
596.00,0.85627102851868
597.00,0.82210701704025
598.00,0.78963798284531
599.00,0.75676101446152
600.00,0.72368800640106
601.00,0.69203501939774
602.00,0.6567320227623
603.00,0.62704199552536
604.00,0.60087198019028
605.00,0.57120198011398
606.00,0.54517501592636
607.00,0.52168202400208
608.00,0.49715599417686
609.00,0.47240498661995
610.00,0.45412701368332
611.00,0.4395759999752
612.00,0.42166900634766
613.00,0.40676000714302
614.00,0.39463299512863
615.00,0.38460099697113
616.00,0.37394300103188
617.00,0.36436900496483
618.00,0.35695400834084
619.00,0.35160699486732
620.00,0.34344598650932
621.00,0.33876100182533
622.00,0.3350929915905
623.00,0.33056101202965
624.00,0.3271250128746
625.00,0.32465800642967
626.00,0.32262200117111
627.00,0.3221510052681
628.00,0.31828400492668
629.00,0.31584700942039
630.00,0.31281000375748
631.00,0.31018799543381
632.00,0.30923101305962
633.00,0.30459600687027
634.00,0.30155700445175
635.00,0.30015099048615
636.00,0.29735198616982
637.00,0.29521998763084
638.00,0.29119500517845
639.00,0.28724199533463
640.00,0.28161799907684
641.00,0.27690500020981
642.00,0.27233898639679
643.00,0.26602301001549
644.00,0.26042300462723
645.00,0.25466400384903
646.00,0.24767599999905
647.00,0.24086800217628
648.00,0.23331199586391
649.00,0.22610400617123
650.00,0.22069199383259
651.00,0.21278500556946
652.00,0.20535099506378
653.00,0.19786800444126
654.00,0.19274500012398
655.00,0.18349799513817
656.00,0.17592599987984
657.00,0.17014400660992
658.00,0.16138899326324
659.00,0.15612199902534
660.00,0.15005700290203
661.00,0.14284299314022
662.00,0.1385979950428
663.00,0.1326690018177
664.00,0.12736700475216
665.00,0.12278400361538
666.00,0.11635299772024
667.00,0.11216799914837
668.00,0.10661499947309
669.00,0.10296999663115
670.00,0.099265396595001
671.00,0.096083298325539
672.00,0.091645702719688
673.00,0.088056199252605
674.00,0.084058597683907
675.00,0.082481898367405
676.00,0.079350098967552
677.00,0.077931702136993
678.00,0.074180901050568
679.00,0.07287210226059
680.00,0.069701500236988
681.00,0.067188203334808
682.00,0.06465470045805
683.00,0.063383497297764
684.00,0.062931202352047
685.00,0.059594798833132
686.00,0.058293998241425
687.00,0.057603400200605
688.00,0.055547401309013
689.00,0.054985798895359
690.00,0.053899798542261
691.00,0.05275309830904
692.00,0.051916901022196
693.00,0.051661599427462
694.00,0.05061399936676
695.00,0.049966000020504
696.00,0.047918900847435
697.00,0.047752700746059
698.00,0.047175500541925
699.00,0.046459898352623
700.00,0.045683600008488
701.00,0.044355399906635
702.00,0.043027099221945
703.00,0.041698899120092
704.00,0.040370598435402
705.00,0.039042301476002
706.00,0.037714101374149
707.00,0.036385800689459
708.00,0.035057600587606
709.00,0.033729299902916
710.00,0.032400999218225
711.00,0.031072799116373
712.00,0.029744500294328
713.00,0.028416300192475
714.00,0.027087999507785
715.00,0.02575970068574
716.00,0.024431500583887
717.00,0.023103199899197
718.00,0.021774999797344
719.00,0.020446699112654
720.00,0.019073700532317
721.00,0.017700700089335
722.00,0.016327699646354
723.00,0.014954700134695
724.00,0.013581800274551
725.00,0.012208799831569
726.00,0.011614000424743
727.00,0.01083580031991
728.00,0.010174700058997
729.00,0.0094355698674917
730.00,0.0087159303948283
731.00,0.0079962899908423
732.00,0.0072766500525177
733.00,0.00655701989308
734.00,0.0058373799547553
735.00,0.0051177400164306
736.00,0.0043981000781059
737.00,0.0042113801464438
738.00,0.0040246602147818
739.00,0.003837940050289
740.00,0.0036512198857963
741.00,0.0034644999541342
742.00,0.0032777900341898
743.00,0.0030910701025277
744.00,0.002904349938035
745.00,0.0027176300063729
746.00,0.0025441099423915
747.00,0.0023705901112407
748.00,0.0021970700472593
749.00,0.0020235499832779
750.00,0.0018500300357118
