wavelength,CFP
440.00,0.012721099890769
441.00,0.01269149966538
442.00,0.013857400044799
443.00,0.015740899369121
444.00,0.01805909909308
445.00,0.020724499598145
446.00,0.024062199518085
447.00,0.02894919924438
448.00,0.036540698260069
449.00,0.04466550052166
450.00,0.054537501186132
451.00,0.066515602171421
452.00,0.080564901232719
453.00,0.097184203565121
454.00,0.11716999858618
455.00,0.13961899280548
456.00,0.16804300248623
457.00,0.19987800717354
458.00,0.24038800597191
459.00,0.28631600737572
460.00,0.33429700136185
461.00,0.38513201475143
462.00,0.44012001156807
463.00,0.49876999855042
464.00,0.55820399522781
465.00,0.62001699209213
466.00,0.68321698904037
467.00,0.74001997709274
468.00,0.79510700702667
469.00,0.84297597408295
470.00,0.88501101732254
471.00,0.92199999094009
472.00,0.9514279961586
473.00,0.97468197345734
474.00,0.99144601821899
475.00,1
476.00,0.99922001361847
477.00,0.99501901865005
478.00,0.98738998174667
479.00,0.98005002737045
480.00,0.97017997503281
481.00,0.95414197444916
482.00,0.94019901752472
483.00,0.9286590218544
484.00,0.9152820110321
485.00,0.90239101648331
486.00,0.89170598983765
487.00,0.88201802968979
488.00,0.87677502632141
489.00,0.87050998210907
490.00,0.86687302589417
491.00,0.86443698406219
492.00,0.86591500043869
493.00,0.876708984375
494.00,0.88801199197769
495.00,0.90064299106598
496.00,0.91061997413635
497.00,0.91946798563004
498.00,0.93250900506973
499.00,0.94502002000809
500.00,0.95190399885178
501.00,0.95411902666092
502.00,0.95713597536087
503.00,0.95952397584915
504.00,0.95794397592545
505.00,0.95981502532959
506.00,0.95216298103333
507.00,0.94376802444458
508.00,0.93281102180481
509.00,0.91957098245621
510.00,0.90650099515915
511.00,0.89398998022079
512.00,0.87589502334595
513.00,0.85416102409363
514.00,0.83922702074051
515.00,0.81946498155594
516.00,0.80257099866867
517.00,0.78545099496841
518.00,0.76958501338959
519.00,0.75558602809906
520.00,0.74209702014923
521.00,0.72633099555969
522.00,0.70517897605896
523.00,0.6889700293541
524.00,0.67892700433731
525.00,0.66272902488708
526.00,0.6553789973259
527.00,0.64557301998138
528.00,0.62886798381805
529.00,0.61746901273727
530.00,0.60434001684189
531.00,0.59042698144913
532.00,0.58201897144318
533.00,0.57140898704529
534.00,0.56828099489212
535.00,0.55680000782013
536.00,0.54860299825668
537.00,0.53753101825714
538.00,0.52935397624969
539.00,0.52164900302887
540.00,0.51083898544312
541.00,0.50008201599121
542.00,0.49108499288559
543.00,0.48205500841141
544.00,0.47279098629951
545.00,0.46109899878502
546.00,0.442597001791
547.00,0.43035998940468
548.00,0.41664400696754
549.00,0.40415498614311
550.00,0.39219799637794
551.00,0.38003298640251
552.00,0.3709399998188
553.00,0.35593900084496
554.00,0.34624698758125
555.00,0.33692699670792
556.00,0.32574298977852
557.00,0.31635600328445
558.00,0.30584698915482
559.00,0.29658499360085
560.00,0.28638398647308
561.00,0.27837601304054
562.00,0.2678160071373
563.00,0.26208001375198
564.00,0.25497201085091
565.00,0.24720899760723
566.00,0.24024899303913
567.00,0.23271499574184
568.00,0.2274149954319
569.00,0.21905399858952
570.00,0.2123260051012
571.00,0.20724299550056
572.00,0.20346799492836
573.00,0.19770599901676
574.00,0.19212800264359
575.00,0.18536199629307
576.00,0.18085399270058
577.00,0.17586399614811
578.00,0.17298600077629
579.00,0.1680970042944
580.00,0.16431899368763
581.00,0.16242200136185
582.00,0.15658700466156
583.00,0.15262700617313
584.00,0.14822900295258
585.00,0.14392699301243
586.00,0.14163100719452
587.00,0.13740499317646
588.00,0.13176199793816
589.00,0.13019299507141
590.00,0.12511500716209
591.00,0.12198200076818
592.00,0.11901500076056
593.00,0.11538200080395
594.00,0.11032799631357
595.00,0.1089029982686
596.00,0.10564099997282
597.00,0.10509400069714
598.00,0.099900603294373
599.00,0.09706699848175
600.00,0.092726200819016
601.00,0.089541800320148
602.00,0.08520320057869
603.00,0.084109298884869
604.00,0.082204200327396
605.00,0.077918097376823
606.00,0.075254902243614
607.00,0.07460629940033
608.00,0.071702599525452
609.00,0.068778596818447
610.00,0.067141801118851
611.00,0.065399900078773
612.00,0.06349840015173
613.00,0.062333900481462
614.00,0.061189200729132
615.00,0.059436399489641
616.00,0.057419400662184
617.00,0.056778900325298
618.00,0.055937699973583
619.00,0.054031599313021
620.00,0.052881699055433
621.00,0.052108399569988
622.00,0.050146199762821
623.00,0.049382898956537
624.00,0.048307798802853
625.00,0.046676099300385
626.00,0.046528499573469
627.00,0.04548180103302
628.00,0.042719800025225
629.00,0.04353180155158
630.00,0.041928701102734
631.00,0.0409274995327
632.00,0.039143901318312
633.00,0.039727799594402
634.00,0.037554800510406
635.00,0.036691099405289
636.00,0.034274701029062
637.00,0.034992299973965
638.00,0.035346899181604
639.00,0.036063600331545
640.00,0.034112099558115
641.00,0.033158801496029
642.00,0.032914701849222
643.00,0.031398098915815
644.00,0.030312700197101
645.00,0.030276700854301
646.00,0.030144099146128
647.00,0.030139999464154
648.00,0.027776500210166
649.00,0.027419500052929
650.00,0.027501100674272
