wavelength,emission
251.00,0.94072997570038
252.00,0.88226997852325
253.00,0.82849198579788
254.00,0.78231298923492
255.00,0.74416399002075
256.00,0.71327900886536
257.00,0.69010901451111
258.00,0.6698340177536
259.00,0.65119498968124
260.00,0.63408899307251
261.00,0.6199539899826
262.00,0.60544800758362
263.00,0.59430700540543
264.00,0.58308702707291
265.00,0.57285100221634
266.00,0.56714200973511
267.00,0.56576502323151
268.00,0.56765401363373
269.00,0.57436501979828
270.00,0.58353799581528
271.00,0.59231901168823
272.00,0.60304701328278
273.00,0.61467802524567
274.00,0.62284702062607
275.00,0.62930601835251
276.00,0.63861399888992
277.00,0.64454102516174
278.00,0.65147000551224
279.00,0.65643101930618
280.00,0.65867501497269
281.00,0.65885198116302
282.00,0.65733599662781
283.00,0.65298402309418
284.00,0.6480849981308
285.00,0.64196300506592
286.00,0.63798701763153
287.00,0.6360769867897
288.00,0.63202202320099
289.00,0.62097698450089
290.00,0.59804499149323
291.00,0.56647098064423
292.00,0.53263598680496
293.00,0.50891602039337
294.00,0.49566701054573
295.00,0.48629701137543
296.00,0.47541099786758
297.00,0.45543199777603
298.00,0.42637899518013
299.00,0.39653599262238
300.00,0.37199199199677
301.00,0.35140201449394
302.00,0.33644199371338
303.00,0.32295799255371
304.00,0.30890300869942
305.00,0.29929500818253
306.00,0.29112800955772
307.00,0.28167998790741
308.00,0.27838999032974
309.00,0.27496701478958
310.00,0.27285900712013
311.00,0.2725830078125
312.00,0.2742780148983
313.00,0.27368798851967
314.00,0.2742780148983
315.00,0.27319601178169
316.00,0.26972898840904
317.00,0.26679798960686
318.00,0.25924000144005
319.00,0.25189700722694
320.00,0.24300000071526
321.00,0.23278400301933
322.00,0.21984900534153
323.00,0.20977100729942
324.00,0.19916300475597
325.00,0.18640699982643
326.00,0.17573800683022
327.00,0.16766600310802
328.00,0.15823699533939
329.00,0.14926099777222
330.00,0.14392599463463
331.00,0.13933999836445
332.00,0.13631099462509
333.00,0.13404500484467
334.00,0.13359199464321
335.00,0.13416300714016
336.00,0.13560000061989
337.00,0.13646599650383
338.00,0.1394210010767
339.00,0.13932199776173
340.00,0.13985399901867
341.00,0.14066100120544
342.00,0.13989299535751
343.00,0.13680100440979
344.00,0.13479299843311
345.00,0.13067899644375
346.00,0.12658399343491
347.00,0.12203700095415
348.00,0.11762800067663
349.00,0.11239200085402
350.00,0.10853599756956
351.00,0.10249099880457
352.00,0.098101198673248
353.00,0.093436002731323
354.00,0.088418401777744
355.00,0.083495400846004
356.00,0.07983410358429
357.00,0.075286999344826
358.00,0.071922898292542
359.00,0.068832501769066
360.00,0.065820798277855
361.00,0.063338600099087
362.00,0.061133898794651
363.00,0.059086699038744
364.00,0.057295501232147
365.00,0.055171500891447
366.00,0.053380198776722
367.00,0.051685400307178
368.00,0.050740599632263
369.00,0.049362700432539
370.00,0.04806549847126
371.00,0.047612700611353
372.00,0.045998599380255
373.00,0.044362798333168
374.00,0.043951399624348
375.00,0.042868800461292
376.00,0.041961301118135
377.00,0.040683798491955
378.00,0.039620898663998
379.00,0.038794100284576
380.00,0.038496900349855
381.00,0.036825701594353
382.00,0.036490999162197
383.00,0.036075700074434
384.00,0.034266699105501
385.00,0.034363199025393
386.00,0.033262800425291
387.00,0.032967500388622
388.00,0.032652601599693
389.00,0.031193999573588
390.00,0.030839700251818
391.00,0.030467599630356
392.00,0.029422400519252
393.00,0.028890900313854
394.00,0.028261000290513
395.00,0.028105499222875
396.00,0.027416599914432
397.00,0.027394900098443
398.00,0.026705900207162
399.00,0.026471700519323
400.00,0.025977600365877
401.00,0.025839800015092
402.00,0.025701999664307
403.00,0.02572170086205
404.00,0.025426499545574
405.00,0.025408800691366
406.00,0.025192199274898
407.00,0.025367399677634
408.00,0.025505200028419
409.00,0.025743400678039
410.00,0.026432299986482
411.00,0.026885099709034
412.00,0.027160700410604
413.00,0.027436200529337
