Type: dye
Name: Alexa-568
Exctinction coefficient: 88000
Quantum Yield: 0.69
wavelength,emission
300,0.183697999,0
301,0.155026004,0
302,0.131155998,0
303,0.114431001,0
304,0.099995904,0
305,0.087965302,0
306,0.080182903,0
307,0.073875897,0
308,0.067142203,0
309,0.063539401,0
310,0.059164599,0
311,0.055220898,0
312,0.055111501,0
313,0.0507796,0
314,0.049364299,0
315,0.051339298,0
316,0.048079699,0
317,0.046985999,0
318,0.047219802,0
319,0.048144002,0
320,0.047136098,0
321,0.048635099,0
322,0.048699498,0
323,0.049130499,0
324,0.048120499,0
325,0.048015401,0
326,0.048294201,0
327,0.049495101,0
328,0.049235601,0
329,0.052432999,0
330,0.054232299,0
331,0.054918502,0
332,0.056162301,0
333,0.059314702,0
334,0.059014499,0
335,0.060194001,0
336,0.063325003,0
337,0.064077698,0
338,0.065383703,0
339,0.066822603,0
340,0.068388097,0
341,0.069181599,0
342,0.070358902,0
343,0.070959397,0
344,0.072312601,0
345,0.0732776,0
346,0.073811598,0
347,0.074500002,0
348,0.076642297,0
349,0.077542998,0
350,0.078400798,0
351,0.079923399,0
352,0.080740497,0
353,0.0812959,0
354,0.082241602,0
355,0.083335303,0
356,0.083890699,0
357,0.084493302,0
358,0.085284702,0
359,0.085606299,0
360,0.086766496,0
361,0.086914502,0
362,0.087536402,0
363,0.089359201,0
364,0.088953897,0
365,0.089895301,0
366,0.090540797,0
367,0.091012597,0
368,0.090819597,0
369,0.0904551,0
370,0.090495802,0
371,0.089854598,0
372,0.087471999,0
373,0.086142503,0
374,0.084364697,0
375,0.082947098,0
376,0.080502398,0
377,0.079475202,0
378,0.078617401,0
379,0.077395,0
380,0.075505704,0
381,0.0760011,0
382,0.075593598,0
383,0.074240498,0
384,0.0747573,0
385,0.074307002,0
386,0.074647903,0
387,0.073835202,0
388,0.0736636,0
389,0.072677098,0
390,0.072076701,0
391,0.0705541,0
392,0.069436803,0
393,0.0670349,0
394,0.0657482,0
395,0.062938899,0
396,0.060966,0
397,0.0582854,0
