wavelength,emission
387.00,9.9999997473788E-6
388.00,0.0099999997764826
389.00,0.0099999997764826
390.00,0.0099999997764826
391.00,0.019999999552965
392.00,0.019999999552965
393.00,0.029999999329448
394.00,0.050000000745058
395.00,0.059999998658895
396.00,0.079999998211861
397.00,0.10999999940395
398.00,0.14000000059605
399.00,0.18000000715256
400.00,0.20000000298023
401.00,0.23999999463558
402.00,0.30000001192093
403.00,0.33000001311302
404.00,0.40000000596046
405.00,0.46000000834465
406.00,0.49000000953674
407.00,0.56999999284744
408.00,0.61000001430511
409.00,0.6700000166893
410.00,0.72000002861023
411.00,0.75
412.00,0.80000001192093
413.00,0.81999999284744
414.00,0.83999997377396
415.00,0.87000000476837
416.00,0.87999999523163
417.00,0.88999998569489
418.00,0.88999998569489
419.00,0.89999997615814
420.00,0.89999997615814
421.00,0.89999997615814
422.00,0.91000002622604
423.00,0.91000002622604
424.00,0.9200000166893
425.00,0.93000000715256
426.00,0.93999999761581
427.00,0.94999998807907
428.00,0.95999997854233
429.00,0.97000002861023
430.00,0.98000001907349
431.00,0.99000000953674
432.00,0.99000000953674
433.00,1
434.00,1
435.00,0.99000000953674
436.00,0.98000001907349
437.00,0.97000002861023
438.00,0.94999998807907
439.00,0.9200000166893
440.00,0.89999997615814
441.00,0.86000001430511
442.00,0.8299999833107
443.00,0.79000002145767
444.00,0.74000000953674
445.00,0.69999998807907
446.00,0.64999997615814
447.00,0.60000002384186
448.00,0.56000000238419
449.00,0.5
450.00,0.44999998807907
451.00,0.41999998688698
452.00,0.37000000476837
453.00,0.34000000357628
454.00,0.30000001192093
455.00,0.27000001072884
456.00,0.23999999463558
457.00,0.20999999344349
458.00,0.18999999761581
459.00,0.18000000715256
460.00,0.15000000596046
461.00,0.14000000059605
462.00,0.12999999523163
463.00,0.11999999731779
464.00,0.10999999940395
465.00,0.10999999940395
466.00,0.10999999940395
467.00,0.10000000149012
468.00,0.10000000149012
469.00,0.10000000149012
470.00,0.10000000149012
471.00,0.10000000149012
472.00,0.10000000149012
473.00,0.10000000149012
474.00,0.10000000149012
475.00,0.10000000149012
476.00,0.10000000149012
477.00,0.10000000149012
478.00,0.10000000149012
479.00,0.10000000149012
480.00,0.10000000149012
481.00,0.10000000149012
482.00,0.10000000149012
483.00,0.10000000149012
484.00,0.090000003576279
485.00,0.090000003576279
486.00,0.090000003576279
487.00,0.090000003576279
488.00,0.090000003576279
489.00,0.079999998211861
490.00,0.079999998211861
491.00,0.079999998211861
492.00,0.079999998211861
493.00,0.079999998211861
494.00,0.070000000298023
495.00,0.070000000298023
496.00,0.070000000298023
497.00,0.070000000298023
498.00,0.059999998658895
499.00,0.070000000298023
500.00,0.059999998658895
501.00,0.059999998658895
502.00,0.059999998658895
503.00,0.059999998658895
504.00,0.050000000745058
505.00,0.050000000745058
506.00,0.050000000745058
507.00,0.050000000745058
508.00,0.03999999910593
509.00,0.03999999910593
510.00,0.03999999910593
511.00,0.03999999910593
512.00,0.03999999910593
513.00,0.03999999910593
514.00,0.029999999329448
515.00,0.029999999329448
516.00,0.029999999329448
517.00,0.029999999329448
518.00,0.029999999329448
519.00,0.029999999329448
520.00,0.019999999552965
521.00,0.019999999552965
522.00,0.019999999552965
523.00,0.019999999552965
524.00,0.019999999552965
525.00,0.019999999552965
526.00,0.019999999552965
527.00,0.019999999552965
528.00,0.019999999552965
529.00,0.0099999997764826
530.00,0.0099999997764826
531.00,0.0099999997764826
532.00,0.0099999997764826
533.00,0.0099999997764826
534.00,0.0099999997764826
535.00,0.0099999997764826
