wavelength,Cy5
635.00,0.036196999251842
636.00,0.042659997940063
637.00,0.050319999456406
638.00,0.059116002172232
639.00,0.069317005574703
640.00,0.080549001693726
641.00,0.094301007688046
642.00,0.10880000144243
643.00,0.12556000053883
644.00,0.14437000453472
645.00,0.16537000238895
646.00,0.18818999826908
647.00,0.21391999721527
648.00,0.24179001152515
649.00,0.27358999848366
650.00,0.30559998750687
651.00,0.33987000584602
652.00,0.37518000602722
653.00,0.41359001398087
654.00,0.45653998851776
655.00,0.50093001127243
656.00,0.54800999164581
657.00,0.59529000520706
658.00,0.63969004154205
659.00,0.68324995040894
660.00,0.72516995668411
661.00,0.76440000534058
662.00,0.80591005086899
663.00,0.84266000986099
664.00,0.88002997636795
665.00,0.91347998380661
666.00,0.94177001714706
667.00,0.96530997753143
668.00,0.98307001590729
669.00,0.99153000116348
670.00,0.99855005741119
671.00,1
672.00,0.9942199587822
673.00,0.98781996965408
674.00,0.97563004493713
675.00,0.96056002378464
676.00,0.94466000795364
677.00,0.92194998264313
678.00,0.9017099738121
679.00,0.88085997104645
680.00,0.85607999563217
681.00,0.83129996061325
682.00,0.80094999074936
683.00,0.76728993654251
684.00,0.73094999790192
685.00,0.68821001052856
686.00,0.6526899933815
687.00,0.62275004386902
688.00,0.59693998098373
689.00,0.57361000776291
690.00,0.55172002315521
691.00,0.52384996414185
692.00,0.49390998482704
693.00,0.46520999073982
694.00,0.44064000248909
695.00,0.41833999752998
696.00,0.39933997392654
697.00,0.38137999176979
698.00,0.36733001470566
699.00,0.35040000081062
700.00,0.3347100019455
701.00,0.32231998443604
702.00,0.31137999892235
703.00,0.30022999644279
704.00,0.29175999760628
705.00,0.28268000483513
706.00,0.27606999874115
707.00,0.26739999651909
708.00,0.26161000132561
709.00,0.25417998433113
710.00,0.24881000816822
711.00,0.24261999130249
712.00,0.23622000217438
713.00,0.23291000723839
714.00,0.22940000891685
715.00,0.22485999763012
716.00,0.22403000295162
717.00,0.22156000137329
718.00,0.2199099957943
719.00,0.21660000085831
720.00,0.21391999721527
721.00,0.21246999502182
722.00,0.21122999489307
723.00,0.21103000640869
724.00,0.21082000434399
725.00,0.20854999125004
726.00,0.20833998918533
727.00,0.20669001340866
728.00,0.2069000005722
729.00,0.20455999672413
730.00,0.20205999910831
731.00,0.20148999989033
732.00,0.19945998489857
733.00,0.195990011096
734.00,0.19575001299381
735.00,0.19153000414371
736.00,0.18666000664234
737.00,0.18153999745846
738.00,0.17719998955727
739.00,0.17434999346733
740.00,0.17316000163555
741.00,0.17152999341488
742.00,0.16820000112057
743.00,0.16244000196457
744.00,0.15668000280857
745.00,0.15362000465393
746.00,0.15020000934601
747.00,0.14531999826431
748.00,0.14102999866009
749.00,0.13652999699116
750.00,0.13166999816895
