Dye: JF549 from http://www.nature.com/nmeth/journal/v12/n3/fig_tab/nmeth.3256_F1.html
Wavelength (nm),emission JF549
677,0.01561745
677.57,0.01534365
678,0.01488771
678.57,0.01431739
679,0.01414145
679.57,0.01351718
680,0.01390866
680.57,0.01323096
681,0.01312509
681.57,0.01306338
682,0.01271514
682.57,0.01245503
683,0.01212927
683.57,0.01220683
684,0.01182177
684.57,0.01147801
685,0.01104181
685.57,0.01088155
686,0.01037684
686.57,0.01031169
687,0.0103803
687.57,0.01004403
688,0.01004095
688.57,0.009627515
689,0.009633297
689.57,0.00945903
690,0.009350394
690.56,0.008955021
690.98,0.00939483
691.54,0.008788509
691.97,0.008842675
692.53,0.008444052
692.95,0.008262804
693.52,0.008422794
693.94,0.008383986
694.5,0.008225687
695.07,0.008002534
695.49,0.008179188
696.05,0.00798008
696.47,0.007488604
697.04,0.007697268
697.46,0.007493862
698.02,0.007382754
698.45,0.0071624
699.01,0.006945007
699.43,0.006912147
700,0.006946451
700.57,0.006978783
701,0.006849767
701.57,0.006643518
702,0.006452653
702.57,0.006397147
703,0.006031082
703.57,0.006250165
704,0.006325182
704.57,0.005844922
705,0.006015785
705.57,0.005592338
706,0.005747161
706.57,0.005512491
707,0.005408518
707.57,0.00556516
708,0.005281693
708.57,0.005161948
709,0.005146578
709.57,0.005176084
710,0.004729835
710.56,0.004749495
710.98,0.004677979
711.54,0.004751898
711.97,0.004641712
712.53,0.004496314
712.95,0.004134596
713.52,0.004236512
713.94,0.004281505
714.5,0.00392148
715.07,0.004063817
715.49,0.003864964
716.05,0.003716572
716.47,0.003638234
717.04,0.003491063
717.46,0.00349233
718.02,0.003590099
718.45,0.003404328
719.01,0.003427919
719.43,0.003239655
720,0.00295006
720.56,0.003162463
720.98,0.003146621
721.54,0.003062424
721.97,0.003007972
722.53,0.002767249
722.95,0.002879173
723.52,0.002847118
723.94,0.002589205
724.5,0.002568602
725.07,0.002566508
725.49,0.002383914
726.05,0.002455156
726.47,0.002317165
727.04,0.002338966
727.46,0.002226457
728.02,0.002250311
728.45,0.0022965
729.01,0.002162373
729.43,0.00201102
730,0.002193856
730.55,0.001964807
730.97,0.002190008
731.52,0.002036624
731.94,0.001965333
732.5,0.00178856
733.05,0.001800668
733.47,0.001926874
734.02,0.001692463
734.44,0.001811602
735,0.001670502
735.55,0.001633196
735.97,0.001774638
736.52,0.001395322
736.94,0.001549534
737.5,0.001527169
738.05,0.001534337
738.47,0.001425455
739.02,0.001483352
739.44,0.00159553
740,0.00140655
740.56,0.001387319
740.98,0.001350295
741.54,0.001270041
741.97,0.001235849
742.53,0.001327838
742.95,0.001270654
743.52,0.001254747
743.94,0.001139378
744.5,0.001134097
745.07,0.001153822
745.49,0.001023589
746.05,0.000892849
746.47,0.000974103
747.04,0.00110862
747.46,0.000933834
748.02,0.001091765
748.45,0.00110233
749.01,0.001009878
749.43,0.001000788
750,0.000992539
750.55,0.000850132
750.97,0.000973295
751.52,0.000862901
751.94,0.000867573
752.5,0.000847066
753.05,0.000866637
753.47,0.000749724
754.02,0.000878045
754.44,0.000825718
755,0.000924636
755.55,0.000768283
755.97,0.000660101
756.52,0.00074647
756.94,0.000676719
757.5,0.000726416
758.05,0.000689944
758.47,0.000713941
759.02,0.000631189
759.44,0.00060096
760,0.000674224
760.54,0.000701161
760.95,0.000625296
761.5,0.000557402
762.05,0.000655888
762.46,0.000560116
763.01,0.000556427
763.56,0.000547932
763.97,0.000642156
764.52,0.00060347
765.06,0.000514285
765.47,0.000636794
766.02,0.000575511
766.43,0.000458077
766.98,0.000446883
767.53,0.00045973
767.94,0.000438582
768.49,0.000543949
769.04,0.000570451
769.45,0.000526124
770,0.000507522
770.55,0.000542448
770.97,0.000463992
771.52,0.000467294
771.94,0.000480055
772.5,0.000392066
773.05,0.000472605
773.47,0.000473035
774.02,0.000442215
774.44,0.000366926
775,0.000457895
775.55,0.000401051
775.97,0.000409487
776.52,0.000361933
776.94,0.000384334
777.5,0.000378787
778.05,0.000428127
778.47,0.000430274
779.02,0.000362056
779.44,0.000354857
780,0.000425935
780.54,0.000404886
780.95,0.000350608
781.5,0.000417121
782.05,0.000287675
782.46,0.000379479
783.01,0.000366305
783.56,0.000296444
783.97,0.000349904
784.52,0.000455413
785.06,0.000291615
785.47,0.00044785
786.02,0.000341789
786.43,0.000333215
786.98,0.000271369
787.53,0.000336583
787.94,0.000287377
788.49,0.000303293
789.04,0.000362049
789.45,0.000215202
790,0.000308449
790.54,0.0002698
790.95,0.000248805
791.5,0.000299247
792.05,0.000211056
792.46,0.000316147
793.01,0.00028593
793.56,0.000315958
793.97,0.000351003
794.52,0.000278609
795.06,0.000286011
795.47,0.000265731
796.02,0.000210257
796.43,0.000252672
796.98,0.000227645
797.53,0.000278422
797.94,0.000210361
798.49,0.000181092
799.04,0.000156111
799.45,0.000290713
800,0.000266079
