Type: dye
Name: Alexa-546
Exctinction coefficient: 270000
Quantum Yield: 0.33
wavelength,emission
250,0.122647002,0
251,0.117388003,0
252,0.114036001,0
253,0.112839997,0
254,0.112384997,0
255,0.113067999,0
256,0.114427,0
257,0.116201997,0
258,0.119088002,0
259,0.123492002,0
260,0.127926007,0
261,0.132274002,0
262,0.136393994,0
263,0.141559005,0
264,0.147150993,0
265,0.154042006,0
266,0.161477,0
267,0.168778002,0
268,0.175906003,0
269,0.182864994,0
270,0.189492002,0
271,0.196195006,0
272,0.202223003,0
273,0.208469003,0
274,0.215656996,0
275,0.221598998,0
276,0.226934999,0
277,0.231064007,0
278,0.234121993,0
279,0.235907003,0
280,0.236427993,0
281,0.235772997,0
282,0.235317007,0
283,0.235459998,0
284,0.236162007,0
285,0.234977007,0
286,0.229185,0
287,0.216122001,0
288,0.200408995,0
289,0.185819,0
290,0.175117999,0
291,0.168690994,0
292,0.162797004,0
293,0.153474003,0
294,0.138330996,0
295,0.121025003,0
296,0.103954002,0
297,0.090349801,0
298,0.078341402,0
299,0.0681547,0
300,0.058774099,0
301,0.051075701,0
302,0.0438121,0
303,0.037879501,0
304,0.032913402,0
305,0.029639101,0
306,0.0265527,0
307,0.0244461,0
308,0.023714099,0
309,0.022879601,0
310,0.022423901,0
311,0.023068599,0
312,0.023581199,0
313,0.024302701,0
314,0.025423,0
315,0.027464099,0
316,0.028661201,0
317,0.0294293,0
318,0.030957799,0
319,0.0319736,0
320,0.032324798,0
321,0.0326951,0
322,0.033218201,0
323,0.033094801,0
324,0.032799501,0
325,0.032533702,0
326,0.032610599,0
327,0.0334935,0
328,0.033322599,0
329,0.032970399,0
330,0.0330378,0
331,0.034053601,0
332,0.034803599,0
333,0.0355337,0
334,0.0353637,0
335,0.034973498,0
336,0.033673901,0
337,0.030853299,0
338,0.028243501,0
339,0.0250527,0
340,0.021844801,0
341,0.019063201,0
342,0.016442001,0
343,0.0142775,0
344,0.0130528,0
345,0.0115623,0
346,0.010442,0
347,0.0099778,0
348,0.00978697,0
349,0.00908445,0
350,0.00889552,0
351,0.00867622,0
352,0.00862021,0
353,0.00870565,0
