## Type: detector
## Name: Photometrics Prime 95B
wavelength,qe
200.99799, 19.86684393
202.7031814, 21.459108
203.8894015, 22.54346787
205.0756215, 23.59043603
206.3211526, 24.70470928
208.2388751, 26.08321735
209.2273918, 27.34830387
210.4729229, 28.57849145
211.4021286, 29.82654397
212.3906453, 31.34298594
212.963985, 32.66166726
214.0315831, 33.93298573
214.5653821, 35.12578159
215.1584922, 36.22883733
215.7516022, 37.33189306
216.3447123, 38.43494879
216.8785113, 39.76609402
218.2511374, 41.69337009
217.2343773, 40.60366854
218.8950854, 43.32578575
219.3102625, 44.54849498
219.9626835, 45.853466
220.6941859, 47.33417811
221.2675256, 48.77002015
221.7815543, 50.26319616
222.3746643, 51.93335965
222.9677744, 53.5412036
223.5608844, 55.2362949
224.1539944, 56.89399447
224.7471045, 58.56415796
225.1820518, 60.13710297
225.9615679, 61.8421654
226.5264346, 63.68682357
227.1195446, 65.33205925
227.554492, 66.92743929
228.334008, 68.65814175
228.8000231, 70.23660649
229.5710661, 71.47427242
229.9269321, 72.80541764
231.1724632, 74.19389684
232.4179943, 75.67710173
234.3498384, 76.98047025
236.1150469, 78.19481086
238.784042, 79.04235651
240.9587789, 78.49394462
241.1564822, 77.62147116
241.7891329, 76.51467625
242.907569, 74.88653394
243.627774, 73.41490268
244.2208841, 72.27445522
244.8139941, 71.11531191
245.4071041, 69.93747274
246.0002142, 68.7409377
246.4153912, 67.42100999
247.0085012, 66.13473483
247.6016113, 64.80358961
248.1947213, 63.48740107
248.7878314, 62.17121253
249.2623194, 61.094331
249.5588744, 60.14458132
250.3299175, 59.06769979
250.6857835, 57.77394628
251.4652995, 56.29750752
252.5837356, 54.87234882
253.1175346, 53.5412036
253.7106447, 52.45684372
254.3037547, 51.39117971
255.0945681, 50.06792829
255.9051518, 48.85976028
256.6761949, 47.70809531
257.8624149, 46.19996261
259.048635, 44.57965475
260.2348551, 43.04659424
261.4210752, 41.51353373
262.8191203, 39.96622875
263.7342043, 38.61442905
264.9797354, 37.32566111
266.1659555, 35.95463138
267.6487306, 34.62099337
269.1315057, 33.2561956
270.6142808, 32.05342861
272.3936109, 31.0014749
275.3591611, 29.93955005
278.3247113, 28.98232203
281.2902615, 28.87762521
284.2558117, 29.73015642
287.2213618, 30.56773095
290.186912, 31.45017553
293.1524622, 32.34757681
295.8214574, 33.2561956
298.4904526, 34.35177299
301.4560028, 35.18934751
304.421553, 35.66796153
307.3871032, 36.17648892
310.3526533, 36.65510293
313.3182035, 36.96919338
316.2837537, 37.32815389
319.2493039, 37.73198446
322.2148541, 38.21059848
325.1804043, 38.73408255
328.1459545, 39.19773988
331.1115047, 39.69131058
334.0770549, 40.16992459
337.0426051, 40.55879848
340.0081553, 40.88784561
342.9737055, 41.18697937
345.9392556, 41.54593988
348.9048058, 41.91985708
351.870356, 42.03951058
354.8359062, 42.0245539
357.8014564, 42.08438065
360.7670066, 42.56299466
363.7325568, 43.505266
366.698107, 44.20823033
369.7625089, 44.91618023
371.7395423, 46.11271526
373.7306974, 47.53716173
375.5947576, 48.92955815
377.3740877, 50.151021
379.1534178, 51.39741166
380.9327479, 52.6064106
382.712078, 53.75309001
384.5761381, 54.89798886
386.8638483, 56.1436673
389.5328435, 57.224288
392.2018386, 58.25256029
394.9301448, 59.29952845
397.455099, 60.28239651
399.0819151, 61.45329151
401.0137592, 62.96391699
402.5812643, 64.42219406
403.7674844, 65.48785808
404.9537045, 66.60960967
406.1992355, 67.76501381
408.1310797, 69.21367587
409.9951398, 70.5295083
411.5372259, 71.59392592
413.850355, 72.70446
416.5193502, 73.76264567
419.4849004, 74.80961383
422.4504506, 75.87153867
425.4160008, 76.81381001
428.381551, 77.71121128
431.3471012, 78.62356925
434.3126514, 79.5508839
437.2782016, 80.46324186
440.2437518, 81.39055651
443.2093019, 82.28795779
446.1748521, 83.18535906
449.1404023, 83.99302021
452.1059525, 84.74085461
455.0715027, 85.44381894
458.0370529, 86.04208646
461.0026031, 86.6104406
463.9681533, 87.13392468
466.9337035, 87.597582
469.8992537, 88.07619602
472.8648039, 88.55481003
475.8303541, 89.01846735
478.7959042, 89.48212468
481.7614544, 89.91586863
484.7270046, 90.30474252
487.6925548, 90.70857309
490.658105, 91.05257691
493.6236552, 91.33675398
496.5892054, 91.57606099
499.5547556, 91.86023806
502.5203058, 92.17432851
505.485856, 92.53328902
508.4514062, 92.86233615
511.4169564, 93.1764266
514.3825065, 93.49051704
517.3480567, 93.77469411
520.3136069, 94.01400112
523.2791571, 94.17852469
526.2447073, 94.29817819
529.2102575, 94.4178317
532.1758077, 94.56739857
535.1413579, 94.71696545
538.1069081, 94.85157565
541.0724583, 94.95627246
544.0380085, 95.04601259
547.0035587, 95.13575272
549.9691089, 95.19557947
552.934659, 95.2853196
555.9002092, 95.34514635
558.8657594, 95.37505972
561.8313096, 95.41992979
564.7968598, 95.37505972
567.76241, 95.34514635
570.7279602, 95.31523297
573.6935104, 95.25540622
576.6590606, 95.19557947
579.6246108, 95.1507094
582.590161, 95.10583934
585.5557112, 95.04601259
588.5212613, 95.0310559
591.4868115, 94.89644571
594.4523617, 94.73192214
597.4179119, 94.5374852
600.3834621, 94.34304826
603.3490123, 94.25330813
606.3145625, 94.14861131
609.2801127, 93.98408775
612.2456629, 93.68495399
615.2112131, 93.31103679
618.1767633, 92.93711959
621.1423135, 92.65294252
624.1078637, 92.44354889
627.0734138, 92.24911195
630.038964, 92.02476163
633.0045142, 91.75554125
635.9700644, 91.48632086
638.9356146, 91.17223042
641.9011648, 90.78335653
644.866715, 90.3196992
647.8322652, 89.93082532
650.7978154, 89.706475
653.7633656, 89.66160494
656.7289158, 89.67656162
659.694466, 89.51203806
662.6600161, 89.10820748
665.6255663, 88.55481003
668.5911165, 88.01636926
671.5566667, 87.65740875
674.5222169, 87.37323168
677.4877671, 87.16383805
680.4533173, 86.92453105
