## Type: detector
## Name: Photometrics PrimeBSI
wavelength,qe
203.0822146, 16.71732506
208.8944786, 20.65191591
213.068207, 24.48848521
216.433372, 27.99088814
219.08694, 31.65559095
221.3839444, 35.35617936
222.9831247, 38.60423033
225.2122851, 41.96344409
226.9511442, 45.34950472
228.6614974, 48.51546055
230.7877365, 52.1276312
233.3212598, 55.63185335
235.5504201, 59.09174285
239.7679093, 61.70015968
246.5831487, 60.88377097
248.0854089, 57.55811579
251.1868495, 54.52358128
253.7804291, 50.56853494
257.0173536, 46.53853817
259.7899262, 42.9723729
262.4652788, 39.55694073
264.9817985, 36.28868837
269.6431898, 32.88584845
274.5331711, 30.10246042
283.1704549, 29.6893938
292.4747765, 31.78470758
301.7790981, 34.08766507
311.0834197, 35.65443123
320.3877413, 37.03620572
329.6920628, 38.36890079
338.9963844, 39.86393549
348.300706, 41.36652087
357.6050276, 41.78935896
366.9093492, 43.41653057
373.6549823, 47.13146527
378.5568547, 50.86771954
383.7563285, 54.28240366
388.5795246, 57.52653124
393.0606501, 60.8737034
397.7945278, 64.08861528
404.0684835, 67.05438826
412.4086073, 69.89749706
421.3008625, 73.02929191
429.5950621, 76.21668575
439.0178415, 79.71265073
448.3221631, 82.2496793
457.6264846, 84.49223135
466.9308062, 86.19113442
476.2351278, 87.63331435
485.5394494, 89.11702303
494.843771, 90.26472643
504.1480926, 91.3331477
513.4524141, 92.22035263
522.7567357, 92.95654396
532.0610573, 93.91170501
541.3653789, 94.33831845
550.6697005, 94.61769362
559.9740221, 93.76069141
569.2783437, 93.98343648
578.5826652, 93.84374889
587.8869868, 93.81354617
597.1913084, 94.08537066
606.49563, 93.77579277
615.7999516, 92.77532763
625.1042732, 92.08066504
634.4085947, 91.51813936
643.7129163, 90.49124684
653.0172379, 89.59649123
662.3215595, 88.67153289
671.6258811, 87.28598306
680.9302027, 86.330822
690.2345243, 84.89241741
699.5388458, 83.25391978
709.3481717, 82.03150438
716.9315833, 79.87121501
726.8702905, 79.0897196
736.1746121, 77.58335888
745.4789337, 75.54089987
754.7832553, 73.55884629
763.6467471, 70.19367858
772.8103783, 68.64335342
781.768557, 66.65249072
786.9994687, 63.8305498
796.0711823, 63.79581667
804.6001437, 62.00127166
810.64711, 59.11931925
818.7504661, 57.57783145
828.1403054, 55.66462231
834.7655297, 52.82769848
843.7558304, 52.62458518
852.7140091, 52.01711497
857.9449208, 49.10370296
864.7952276, 45.91731588
872.7487611, 44.53834592
881.5546368, 44.97952139
890.629411, 43.71219931
895.1591465, 40.77140804
901.7881156, 38.67292671
911.2121619, 38.62939926
920.378755, 37.16297767
925.4012523, 34.24094388
931.9530454, 31.84217664
941.451207, 30.88240128
950.8847553, 29.42260309
957.7445387, 26.53880253
965.6635894, 24.39979904
975.7608929, 22.73899259
985.0652145, 21.3383414
994.3695361, 19.83953136
1003.673858, 18.84284156
1012.978179, 18.40867744
1022.282501, 17.29872744
1031.586822, 14.98821927
1040.891144, 12.67393576
1050.195466, 11.25063253
1059.499787, 10.20863865
1068.804109, 9.072261262
1078.10843, 7.822623674
1087.412752, 6.848585916
1096.717073, 6.346465677
1101.659994, 6.267183534
