## Type: detector
## Name: QE of 880 PMT detetcor
wavelength,qe
396.4125561,0.327848101
413.0044843,0.32278481
430.044843,0.312658228
449.7757848,0.301518987
473.9910314,0.286329114
496.8609865,0.271139241
519.2825112,0.254936709
539.4618834,0.238734177
557.3991031,0.22556962
576.6816143,0.20835443
596.8609865,0.194177215
617.9372197,0.177974684
636.32287,0.161772152
652.4663677,0.146582278
666.367713,0.133417722
684.7533632,0.11721519
700.896861,0.101012658
713.4529148,0.090886076
