## Type: excitation
## Name: Lumencor-mCherry (LED)
wavelength,intensity
346.48829219,0.00578024
346.59626860,0.00371045
346.70425248,0.00434972
346.81224383,0.00360454
346.92024264,0.00407396
347.02824891,0.00367396
347.13626264,0.00420165
347.24428383,0.00350417
347.35231248,0.00414176
347.46034857,0.00377809
347.56839212,0.00443559
347.67644311,0.00364380
347.78450155,0.00417146
347.89256743,0.00357150
348.00064075,0.00425614
348.10872151,0.00361926
348.21680971,0.00414058
348.32490533,0.00360353
348.43300839,0.00427650
348.54111887,0.00350672
348.64923678,0.00408986
348.75736210,0.00362345
348.86549485,0.00436372
348.97363502,0.00215104
349.08178260,0.00547429
349.18993760,0.00366836
349.29810000,0.00413478
349.40626981,0.00356334
349.51444703,0.00403955
349.62263164,0.00337366
349.73082366,0.00420214
349.83902308,0.00355679
349.94722988,0.00401825
350.05544409,0.00348848
350.16366568,0.00393920
350.27189466,0.00344216
350.38013102,0.00398528
350.48837477,0.00346086
350.59662589,0.00405940
350.70488439,0.00344124
350.81315027,0.00400093
350.92142352,0.00341342
351.02970414,0.00411489
351.13799213,0.00343093
351.24628748,0.00401431
351.35459019,0.00317346
351.46290027,0.00428491
351.57121770,0.00183344
351.67954248,0.00540924
351.78787462,0.00341623
351.89621411,0.00390176
352.00456094,0.00335517
352.11291512,0.00389689
352.22127664,0.00323075
352.32964551,0.00382299
352.43802170,0.00348007
352.54640524,0.00401406
352.65479610,0.00321013
352.76319430,0.00404351
352.87159982,0.00341107
352.98001267,0.00405053
353.08843284,0.00327751
353.19686032,0.00396495
353.30529513,0.00333318
353.41373725,0.00381149
353.52218668,0.00326702
353.63064343,0.00393895
353.73910748,0.00331209
353.84757883,0.00382554
353.95605749,0.00315753
354.06454344,0.00409851
354.17303670,0.00196954
354.28153725,0.00517510
354.39004509,0.00335939
354.49856022,0.00379933
354.60708263,0.00327400
354.71561234,0.00380960
354.82414932,0.00313297
354.93269358,0.00378178
355.04124513,0.00318700
355.14980394,0.00371818
355.25837003,0.00327844
355.36694339,0.00384353
355.47552401,0.00310282
355.58411190,0.00375399
355.69270705,0.00306231
355.80130946,0.00373432
355.90991913,0.00327051
356.01853605,0.00365709
356.12716023,0.00314562
356.23579165,0.00373575
356.34443033,0.00313973
356.45307624,0.00376963
356.56172940,0.00314584
356.67038980,0.00393123
356.77905743,0.00171229
356.88773230,0.00511503
356.99641441,0.00307168
357.10510374,0.00382742
357.21380030,0.00310627
357.32250408,0.00363420
357.43121508,0.00294237
357.53993331,0.00380217
357.64865875,0.00290091
357.75739141,0.00367816
