Type: excitation
Name: Xe(Xenon) arc lamp
wavelength,intensity
346.48829219,0.06094939
346.59626860,0.06063805
346.70425248,0.06132323
346.81224383,0.06111533
346.92024264,0.06188363
347.02824891,0.06164979
347.13626264,0.06223717
347.24428383,0.06241212
347.35231248,0.06308813
347.46034857,0.06301414
347.56839212,0.06363231
347.67644311,0.06379800
347.78450155,0.06466328
347.89256743,0.06444710
348.00064075,0.06544937
348.10872151,0.06402307
348.21680971,0.06742521
348.32490533,0.06614664
348.43300839,0.06672658
348.54111887,0.06670125
348.64923678,0.06745224
348.75736210,0.06730916
348.86549485,0.06810598
348.97363502,0.06808933
349.08178260,0.06874329
349.18993760,0.06829215
349.29810000,0.06944591
349.40626981,0.06889474
349.51444703,0.06969541
349.62263164,0.06958517
349.73082366,0.07023438
349.83902308,0.07028562
349.94722988,0.07104181
350.05544409,0.07071292
350.16366568,0.07147815
350.27189466,0.07147639
350.38013102,0.07217912
350.48837477,0.07234449
350.59662589,0.07293660
350.70488439,0.07280169
350.81315027,0.07357690
350.92142352,0.07350722
351.02970414,0.07438020
351.13799213,0.07420458
351.24628748,0.07494895
351.35459019,0.07509387
351.46290027,0.07602156
351.57121770,0.07587881
351.67954248,0.07672653
351.78787462,0.07684481
351.89621411,0.07603855
352.00456094,0.07877404
352.11291512,0.07824682
352.22127664,0.07783497
352.32964551,0.07870634
352.43802170,0.07871182
352.54640524,0.07935346
352.65479610,0.07905819
352.76319430,0.08001250
352.87159982,0.07991441
352.98001267,0.08058595
353.08843284,0.08038522
353.19686032,0.08125054
353.30529513,0.08111162
353.41373725,0.08200264
353.52218668,0.08206994
353.63064343,0.08315104
353.73910748,0.08311556
353.84757883,0.08408675
353.95605749,0.08428550
354.06454344,0.08523591
354.17303670,0.08544356
354.28153725,0.08646407
354.39004509,0.08656607
354.49856022,0.08793898
354.60708263,0.08824350
354.71561234,0.08938354
354.82414932,0.08964489
354.93269358,0.09070616
355.04124513,0.09106578
355.14980394,0.09192730
355.25837003,0.09216085
355.36694339,0.09290465
355.47552401,0.09289950
355.58411190,0.09405744
355.69270705,0.09226889
355.80130946,0.09546279
355.90991913,0.09439104
356.01853605,0.09488118
356.12716023,0.09449679
356.23579165,0.09521883
356.34443033,0.09490255
356.45307624,0.09545636
356.56172940,0.09504594
356.67038980,0.09548617
356.77905743,0.09503609
356.88773230,0.09559832
356.99641441,0.09520962
357.10510374,0.09601357
357.21380030,0.09599926
357.32250408,0.09635906
357.43121508,0.09599322
357.53993331,0.09715241
357.64865875,0.09690685
357.75739141,0.09773205
357.86613128,0.09784603
357.97487836,0.09867390
358.08363264,0.09890619
358.19239413,0.10017607
358.30116282,0.10020077
358.40993872,0.10128870
358.51872181,0.10124579
358.62751209,0.10250044
358.73630956,0.10262976
358.84511423,0.10369624
358.95392608,0.10397703
359.06274512,0.10502005
359.17157134,0.10508045
359.28040474,0.10629715
359.38924531,0.10627976
359.49809306,0.10547691
359.60694798,0.10806105
359.71581008,0.10735134
359.82467934,0.10718169
359.93355576,0.10763735
360.04243934,0.10771825
360.15133009,0.10783561
360.26022799,0.10748803
360.36913305,0.10821649
360.47804526,0.10759643
360.58696462,0.10821080
360.69589112,0.10758135
360.80482477,0.10838276
360.91376556,0.10775831
361.02271349,0.10837741
361.13166856,0.10794102
361.24063077,0.10880237
361.34960010,0.10841693
361.45857657,0.10932958
361.56756016,0.10900685
361.67655087,0.11015796
361.78554871,0.11014507
361.89455367,0.11137206
362.00356575,0.11156169
362.11258493,0.11294103
362.22161124,0.11331169
362.33064465,0.11463863
362.43968516,0.11532507
362.54873279,0.11679875
362.65778751,0.11741712
362.76684934,0.11885730
362.87591826,0.11963881
362.98499427,0.12150330
363.09407738,0.12204705
363.20316758,0.12406937
363.31226486,0.12321674
363.42136923,0.12737497
363.53048068,0.12691936
363.63959921,0.12821523
363.74872482,0.12875085
363.85785750,0.13008965
363.96699725,0.13039499
364.07614407,0.13153945
364.18529796,0.13182744
364.29445892,0.13327195
364.40362693,0.13314268
364.51280201,0.13391027
364.62198414,0.13403640
364.73117333,0.13455562
364.84036957,0.13455177
364.94957286,0.13535550
365.05878319,0.13474687
365.16800057,0.13565331
365.27722500,0.13528647
365.38645646,0.13604231
365.49569496,0.13507365
365.60494049,0.13617405
365.71419305,0.13548914
365.82345265,0.13611441
365.93271927,0.13577197
366.04199291,0.13660442
366.15127358,0.13628338
366.26056127,0.13708111
366.36985597,0.13706032
366.47915769,0.13791429
366.58846642,0.13748809
366.69778216,0.13848916
366.80710491,0.13818940
366.91643466,0.13910295
367.02577141,0.13951676
367.13511517,0.13911735
367.24446591,0.14133579
367.35382366,0.14113001
367.46318839,0.14128962
367.57256012,0.14204778
367.68193883,0.14234673
367.79132453,0.14304113
367.90071721,0.14337553
368.01011686,0.14459570
