Type: excitation
Name: Lumencor-Cy5 (LED)
wavelength,intensity
346.48829219,0.00172237
346.59626860,0.00102357
346.70425248,0.00175865
346.81224383,0.00102238
346.92024264,0.00168876
347.02824891,0.00102347
347.13626264,0.00168253
347.24428383,0.00125992
347.35231248,0.00027109
347.46034857,0.00239169
347.56839212,0.00171988
347.67644311,0.00100783
347.78450155,0.00172774
347.89256743,0.00098555
348.00064075,0.00171145
348.10872151,0.00099247
348.21680971,0.00168074
348.32490533,0.00098681
348.43300839,0.00164124
348.54111887,0.00096158
348.64923678,0.00191379
348.75736210,-0.00040087
348.86549485,0.00300745
348.97363502,0.00101815
349.08178260,0.00165443
349.18993760,0.00098581
349.29810000,0.00163632
349.40626981,0.00095127
349.51444703,0.00161775
349.62263164,0.00096320
349.73082366,0.00160090
349.83902308,0.00096618
349.94722988,0.00164854
350.05544409,0.00117518
350.16366568,0.00024495
350.27189466,0.00227922
350.38013102,0.00165648
350.48837477,0.00097408
350.59662589,0.00161729
350.70488439,0.00090961
350.81315027,0.00166625
350.92142352,0.00093775
351.02970414,0.00164199
351.13799213,0.00093858
351.24628748,0.00162713
351.35459019,0.00088794
351.46290027,0.00187730
351.57121770,-0.00045298
351.67954248,0.00295031
351.78787462,0.00098568
351.89621411,0.00164749
352.00456094,0.00095236
352.11291512,0.00160215
352.22127664,0.00091152
352.32964551,0.00159131
352.43802170,0.00084766
352.54640524,0.00158142
352.65479610,0.00089839
352.76319430,0.00155883
352.87159982,0.00116031
352.98001267,0.00025180
353.08843284,0.00224190
353.19686032,0.00158319
353.30529513,0.00082582
353.41373725,0.00155452
353.52218668,0.00083097
353.63064343,0.00160549
353.73910748,0.00083827
353.84757883,0.00151517
353.95605749,0.00088653
354.06454344,0.00154836
354.17303670,0.00087490
354.28153725,0.00183392
354.39004509,-0.00052677
354.49856022,0.00294038
354.60708263,0.00084063
354.71561234,0.00158504
354.82414932,0.00083978
354.93269358,0.00150752
355.04124513,0.00083956
355.14980394,0.00148234
355.25837003,0.00087908
355.36694339,0.00150524
355.47552401,0.00082877
355.58411190,0.00153372
355.69270705,0.00102356
355.80130946,0.00013082
355.90991913,0.00221118
356.01853605,0.00149682
356.12716023,0.00081737
356.23579165,0.00146258
356.34443033,0.00083979
356.45307624,0.00148822
356.56172940,0.00078568
356.67038980,0.00150919
356.77905743,0.00081868
356.88773230,0.00146251
356.99641441,0.00073742
357.10510374,0.00172008
357.21380030,-0.00054513
357.32250408,0.00289699
357.43121508,0.00080440
357.53993331,0.00150500
357.64865875,0.00083860
357.75739141,0.00148165
357.86613128,0.00084765
357.97487836,0.00146795
358.08363264,0.00079224
358.19239413,0.00150766
358.30116282,0.00080536
358.40993872,0.00145211
358.51872181,0.00102587
358.62751209,0.00002238
358.73630956,0.00214085
358.84511423,0.00150548
358.95392608,0.00075199
359.06274512,0.00148059
359.17157134,0.00075844
359.28040474,0.00149595
359.38924531,0.00073624
359.49809306,0.00146115
359.60694798,0.00077600
359.71581008,0.00141053
359.82467934,0.00070150
359.93355576,0.00165469
360.04243934,-0.00064506
360.15133009,0.00282248
360.26022799,0.00075379
360.36913305,0.00143716
360.47804526,0.00076674
360.58696462,0.00144171
360.69589112,0.00077791
360.80482477,0.00144190
360.91376556,0.00070487
361.02271349,0.00144818
361.13166856,0.00072771
361.24063077,0.00141963
361.34960010,0.00099252
361.45857657,0.00008180
361.56756016,0.00210391
361.67655087,0.00144279
361.78554871,0.00075396
361.89455367,0.00143978
362.00356575,0.00074738
362.11258493,0.00137756
362.22161124,0.00068815
362.33064465,0.00139559
362.43968516,0.00068265
362.54873279,0.00139250
362.65778751,0.00071158
362.76684934,0.00164002
362.87591826,-0.00067577
362.98499427,0.00277858
363.09407738,0.00073517
363.20316758,0.00138716
363.31226486,0.00072257
363.42136923,0.00142151
