## Type: Lumencor SOLA 
## Name: LED Broadband (Lumencor SOLA light engine) 
wavelength,intensity
350,     0.005578,  
600,	 0.112382,  
601,	 0.109049,  
602,	 0.10656,   
603,	 0.103314,  
604,	 0.100017,  
605,	 0.0976,	   
606,	 0.094848,  
607,	 0.091322,  
608,	 0.087837,  
609,	 0.085247,  
610,	 0.084191,  
611,	 0.085823,  
612,	 0.089725,  
613,	 0.096156,  
614,	 0.105066,  
615,	 0.116517,  
616,	 0.131599,  
617,	 0.148286,  
618,	 0.168116,  
619,	 0.189358,  
620,	 0.212868,  
621,	 0.237472,  
622,	 0.264321,  
623,	 0.295162,  
624,	 0.325562,  
625,	 0.362182,  
626,	 0.398561,  
627,	 0.437211,  
628,	 0.477468,  
629,	 0.51543,   
630,	 0.55448,   
631,	 0.585518,  
632,	 0.615366,  
633,	 0.631087,  
634,	 0.628781,  
635,	 0.61133,   
636,	 0.579434,  
637,	 0.534935,  
638,	 0.480806,  
639,	 0.422144,  
640,	 0.365882,  
641,	 0.311909,  
642,	 0.262257,  
643,	 0.219268,  
644,	 0.182288,  
645,	 0.152993,  
646,	 0.12753,   
647,	 0.107147,  
648,	 0.090206,  
649,	 0.075076,  
650,	 0.063473,  
651,	 0.053226,  
652,	 0.045786,  
653,	 0.038778,  
654,	 0.033451,  
655,	 0.028252,  
656,	 0.023951,  
657,	 0.020817,  
658,	 0.017985,  
659,	 0.01564,   
660,	 0.014247,  
661,	 0.011485,  
662,	 0.010584,  
663,	 0.009332,  
664,	 0.008084,  
665,	 0.007574,  
666,	 0.006359,  
667,	 0.005636,  
668,	 0.004734,  
669,	 0.004351,  
670,	 0.003754,  
671,	 0.003263,  
672,	 0.003157,  
673,	 0.002801,  
674,	 0.002492,  
675,	 0.001945,  
676,	 0.001541,  
677,	 0.001728,  
678,	 0.001864,  
679,	 0.000985,  
680,	 0.001633,  
681,	 0.001253,  
682,	 0.001473,  
683,	 0.001073,  
684,	 0.001365,  
685,	 0.000631,  
686,	 0.000713,  
687,	 0.000805,  
688,	 9.9E-05,   
689,	 1E-22,	   
690,	 0.000431,  
691,	 0.001069,  
692,	 6E-05,	   
693,	 0.000611,  
694,	 0.000645,  
695,	 0.00108,   
696,	 0.000533,  
697,	 0.000333,  
698,	 1E-22,	   
699,	 0.00013,   
700,	 0.000157,  
701,	 0.001046,  
702,	 0.000147,  
703,	 7.8E-05,   
704,	 1E-22,	   
705,	 0.000281,  
706,	 0.000273,  
707,	 1E-22,	   
708,	 0.001215,  
709,	 0.000716,  
710,	 0.000665,  
711,	 0.000384,  
712,	 0.000272,  
713,	 0.000777,  
714,	 0.000278,  
715,	 1E-22,	   
717,	 1E-22,	   
718,	 0.00038,   
719,	 8.3E-05,   
720,	 1E-22,	   
721,	 7.9E-05,   
722,	 0.000815,  
723,	 1E-22,	   
724,	 0.00035,   
725,	 0.000662,  
726,	 1E-22,	   
727,	 0.000574,  
728,	 0.000302,  
729,	 1E-22,	   
732,	 1E-22,	   
733,	 5.1E-05,   
734,	 0.001426,  
735,	 0.001226,  
736,	 0.000387,  
737,	 1E-22,	   
738,	 6E-06,	   
739,	 1E-22,	   
742,	 1E-22,	   
743,	 0.000191,  
744,	 0.000716,  
745,	 1E-22,	   
746,	 1E-22,	   
747,	 0.000172,  
748,	 1E-22,	   
749,	 0.000127,  
750,	 1E-22,	   
751,	 0.000195,  
752,	 0.000218,  
753,	 4E-05,	   
754,	 0.000458,  
755,	 0.000445,  
756,	 0.001158,  
757,	 1E-22,	   
758,	 0.000151,  
759,	 0.000234,  
760,	 0.000445,  
761,	 0.000862,  
762,	 0.000458,  
763,	 1.3E-05,   
764,	 0.001307,  
765,	 1E-22,	   
766,	 0.000743,  
767,	 1E-22,	   
768,	 0.001175,  
769,	 0.000397,  
770,	 0.000298,  
771,	 1E-22,	   
772,	 1E-22,	   
773,	 0.000676,  
774,	 1E-22,	   
775,	 4.8E-05,   
776,	 4.8E-05,   
777,	 1E-22,	   
778,	 1E-22,	   
779,	 0.001049,  
780,	 0.000906,  
781,	 0.00072,   
782,	 0.000431,  
783,	 0.000859,  
784,	 0.000329,  
785,	 0.000284,  
786,	 1E-22,	   
787,	 1E-22,	   
788,	 5.9E-05,   
789,	 5E-06,	   
790,	 0.000154,  
791,	 1E-22,	   
792,	 1E-22,	   
793,	 0.000411,  
794,	 1E-22,	   
795,	 1E-22,	   
796,	 0.000435,  
797,	 4E-06,	   
798,	 3.3E-05,   
799,	 0.000322,  
800,	 0.001202,  
801,	 1E-22,	   
802,	 1E-22,	   
803,	 0.000784,  
804,	 1E-22,	   
805,	 1E-22,	   
806,	 0.00149,   
807,	 0.000927,  
808,	 1E-22,	   
813,	 1E-22,	   
814,	 0.000387,  
815,	 0.002811,  
816,	 1E-22,	   
817,	 1E-22,	   
818,	 0.001725,  
819,	 0.002315,  
820,	 0.002916,  
821,	 1E-22,	   
822,	 1E-22,	   
823,	 0.000696,  
824,	 0.000418,  
825,	 0.001623,  
826,	 1E-22,	   
827,	 1E-22,	   
828,	 0.000679,  
829,	 1E-22,	   
836,	 1E-22,     
837,	 0.001487,  
838,	 0.002774,  
839,	 1E-22,	   
840,	 0.00029,   
841,	 0.003575,  
842,	 1E-22,	   
844,	 1E-22,	   
845,	 0.000485,  
846,	 1E-22,	   
847,	 1E-22,	   
848,	 0.001375,  
849,	 1E-22,	   
850,	 0.00035    








































































































































































































































































































































































































